DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-08-27,0.0,9.22,8.91,9.0,3239600.0,
1997-08-28,0.0,8.88,8.5,8.81,6339600.0,
1997-08-29,0.0,8.91,8.75,8.84,2466000.0,
1997-09-01,nan,nan,nan,nan,nan,
1997-09-02,0.0,9.31,8.95,9.22,7957600.0,
1997-09-03,0.0,9.44,9.16,9.42,10342000.0,
1997-09-04,0.0,9.48,9.12,9.16,6996800.0,
1997-09-05,0.0,9.53,9.22,9.45,9967200.0,
1997-09-08,0.0,9.75,9.44,9.45,9340800.0,
1997-09-09,0.0,9.44,9.22,9.3,3745600.0,
1997-09-10,0.0,9.62,9.23,9.25,8915200.0,
1997-09-11,0.0,9.69,9.23,9.62,10651600.0,
1997-09-12,0.0,9.88,9.59,9.77,8959600.0,
1997-09-15,0.0,9.91,9.47,9.47,6430000.0,
1997-09-16,0.0,9.56,9.31,9.34,5968000.0,
1997-09-17,0.0,9.53,9.28,9.33,4929200.0,
1997-09-18,0.0,9.64,9.19,9.27,7586000.0,
1997-09-19,0.0,9.47,9.2,9.39,5724400.0,
1997-09-22,0.0,9.53,9.19,9.23,2998400.0,
1997-09-23,0.0,9.56,9.19,9.53,6432400.0,
1997-09-24,0.0,9.5,9.2,9.23,4172800.0,
1997-09-25,0.0,9.42,9.2,9.28,3019200.0,
1997-09-26,0.0,9.41,9.03,9.27,5876000.0,
1997-09-29,0.0,9.34,9.12,9.31,4257200.0,
1997-09-30,0.0,9.28,8.91,9.11,7313600.0,
1997-10-01,0.0,9.12,8.81,8.84,8295600.0,
1997-10-02,0.0,8.91,8.44,8.84,12890400.0,
1997-10-03,0.0,9.12,8.69,8.81,5661600.0,
1997-10-06,0.0,8.84,8.41,8.45,4975200.0,
1997-10-07,0.0,9.0,8.45,9.0,8573600.0,
1997-10-08,0.0,9.38,8.97,9.38,10127200.0,
1997-10-09,0.0,9.39,8.94,9.02,14158000.0,
1997-10-10,0.0,9.22,8.91,9.05,6558400.0,
1997-10-13,0.0,9.19,8.81,9.02,3825200.0,
1997-10-14,0.0,9.03,8.78,8.86,3548800.0,
1997-10-15,0.0,8.69,8.42,8.5,7570800.0,
1997-10-16,0.0,8.62,7.88,8.09,11091200.0,
1997-10-17,0.0,8.03,7.45,7.56,11400800.0,
1997-10-20,0.0,7.88,7.56,7.78,8065600.0,
1997-10-21,0.0,8.34,7.88,8.34,8268400.0,
1997-10-22,0.0,8.38,7.84,7.94,9284000.0,
1997-10-23,0.0,7.78,7.5,7.55,10222800.0,
1997-10-24,0.0,7.56,6.41,7.06,38380400.0,
1997-10-27,0.0,7.31,6.62,6.78,9490800.0,
1997-10-28,0.0,7.12,6.19,6.75,21876400.0,
1997-10-29,0.0,7.06,6.48,6.58,15346400.0,
1997-10-30,0.0,6.72,6.22,6.36,15150000.0,
1997-10-31,0.0,6.66,6.3,6.47,8788000.0,
1997-11-03,0.0,6.94,6.53,6.81,9779600.0,
1997-11-04,0.0,7.03,6.72,6.84,7071600.0,
1997-11-05,0.0,6.94,6.72,6.73,10595600.0,
1997-11-06,0.0,6.89,6.55,6.58,5664400.0,
1997-11-07,0.0,6.66,6.19,6.48,8654800.0,
1997-11-10,0.0,6.59,6.31,6.34,4853600.0,
1997-11-11,0.0,6.38,5.72,5.75,18365600.0,
1997-11-12,0.0,6.06,5.56,5.67,14810000.0,
1997-11-13,0.0,5.98,5.62,5.98,9296000.0,
1997-11-14,0.0,6.16,5.89,6.14,8000000.0,
1997-11-17,0.0,6.44,6.25,6.33,8542400.0,
1997-11-18,0.0,6.48,5.97,6.03,8117600.0,
1997-11-19,0.0,6.12,5.91,6.08,3546000.0,
1997-11-20,0.0,6.25,6.08,6.11,5188400.0,
1997-11-21,0.0,6.25,6.11,6.12,4500800.0,
1997-11-24,0.0,6.12,5.88,5.91,4677600.0,
1997-11-25,0.0,6.03,5.72,5.97,6606000.0,
1997-11-26,0.0,5.91,5.42,5.52,18472400.0,
1997-11-27,nan,nan,nan,nan,nan,
1997-11-28,0.0,5.72,5.5,5.61,4334000.0,
1997-12-01,0.0,5.81,5.47,5.48,9203600.0,
1997-12-02,0.0,5.56,5.12,5.17,7576400.0,
1997-12-03,0.0,5.11,4.88,5.02,15034800.0,
1997-12-04,0.0,5.12,4.91,4.98,7970400.0,
1997-12-05,0.0,5.09,4.84,5.05,9270400.0,
1997-12-08,0.0,5.41,5.0,5.36,9840800.0,
1997-12-09,0.0,5.38,5.06,5.09,9210400.0,
1997-12-10,0.0,5.14,4.94,5.02,7646800.0,
1997-12-11,0.0,4.91,4.53,4.72,10564000.0,
1997-12-12,0.0,4.91,4.59,4.67,8386000.0,
1997-12-15,0.0,4.84,4.59,4.81,7062800.0,
1997-12-16,0.0,4.77,4.38,4.52,12451200.0,
1997-12-17,0.0,4.94,4.59,4.7,8886000.0,
1997-12-18,0.0,4.91,4.69,4.77,5377600.0,
1997-12-19,0.0,4.81,4.56,4.77,5510000.0,
1997-12-22,0.0,4.94,4.72,4.84,5072000.0,
1997-12-23,0.0,4.97,4.62,4.64,4381600.0,
1997-12-24,0.0,4.75,4.59,4.64,1721600.0,
1997-12-25,nan,nan,nan,nan,nan,
1997-12-26,0.0,4.66,4.5,4.59,2415200.0,
1997-12-29,0.0,4.7,4.47,4.53,5876400.0,
1997-12-30,0.0,4.66,4.5,4.58,6748800.0,
1997-12-31,0.0,4.84,4.56,4.64,12422400.0,
1998-01-01,nan,nan,nan,nan,nan,
1998-01-02,0.0,5.0,4.72,5.0,3183200.0,
1998-01-05,0.0,5.31,5.02,5.12,6219600.0,
1998-01-06,0.0,5.16,4.83,4.84,7351600.0,
1998-01-07,0.0,4.38,3.62,4.34,47755200.0,
1998-01-08,0.0,4.47,4.16,4.31,9730800.0,
1998-01-09,0.0,4.25,3.97,4.0,9196000.0,
1998-01-12,0.0,4.28,3.91,4.0,8134800.0,
1998-01-13,0.0,4.19,4.09,4.16,5496800.0,
1998-01-14,0.0,4.38,4.23,4.28,6407600.0,
1998-01-15,0.0,4.44,4.28,4.28,2964800.0,
1998-01-16,0.0,4.31,4.16,4.17,4411600.0,
1998-01-19,nan,nan,nan,nan,nan,
1998-01-20,0.0,4.2,4.03,4.2,4359200.0,
1998-01-21,0.0,4.23,4.09,4.22,3096000.0,
1998-01-22,0.0,4.22,4.06,4.06,3147200.0,
1998-01-23,0.0,4.16,4.06,4.16,2792000.0,
1998-01-26,0.0,4.23,4.06,4.06,2974400.0,
1998-01-27,0.0,4.09,3.91,3.98,4649600.0,
1998-01-28,0.0,4.05,3.94,4.05,8144400.0,
1998-01-29,0.0,4.11,3.91,3.92,4758000.0,
1998-01-30,0.0,4.05,3.95,4.05,2548800.0,
1998-02-02,0.0,4.34,4.12,4.3,8522000.0,
1998-02-03,0.0,4.5,4.2,4.47,7037600.0,
1998-02-04,0.0,4.59,4.38,4.47,4548000.0,
1998-02-05,0.0,4.66,4.33,4.38,6246800.0,
1998-02-06,0.0,4.5,4.31,4.45,2640400.0,
1998-02-09,0.0,4.5,4.31,4.31,2670800.0,
1998-02-10,0.0,4.47,4.31,4.34,3285200.0,
1998-02-11,0.0,4.36,4.19,4.26,4187600.0,
1998-02-12,0.0,4.31,4.22,4.23,5373200.0,
1998-02-13,0.0,4.28,4.17,4.22,2178800.0,
1998-02-16,nan,nan,nan,nan,nan,
1998-02-17,0.0,4.25,4.09,4.19,2865200.0,
1998-02-18,0.0,4.31,4.14,4.31,3339200.0,
1998-02-19,0.0,4.38,4.28,4.34,3505600.0,
1998-02-20,0.0,4.38,4.19,4.19,3020000.0,
1998-02-23,0.0,4.28,4.19,4.27,5342000.0,
1998-02-24,0.0,4.3,4.16,4.22,4476800.0,
1998-02-25,0.0,4.38,4.25,4.28,8529600.0,
1998-02-26,0.0,4.31,4.19,4.19,8652800.0,
1998-02-27,0.0,4.19,4.06,4.06,7604800.0,
1998-03-02,0.0,4.19,4.06,4.06,3396000.0,
1998-03-03,0.0,4.14,4.0,4.13,5283200.0,
1998-03-04,0.0,4.09,3.88,3.92,9164800.0,
1998-03-05,0.0,3.88,3.62,3.66,18261600.0,
1998-03-06,0.0,3.73,3.64,3.7,16510400.0,
1998-03-09,0.0,3.7,3.5,3.5,5748400.0,
1998-03-10,0.0,3.69,3.56,3.59,8947600.0,
1998-03-11,0.0,3.91,3.64,3.81,11982800.0,
1998-03-12,0.0,3.94,3.81,3.88,5273600.0,
1998-03-13,0.0,3.94,3.81,3.84,5697600.0,
1998-03-16,0.0,3.86,3.77,3.77,2554000.0,
1998-03-17,0.0,3.8,3.62,3.64,4364400.0,
1998-03-18,0.0,3.64,3.52,3.59,5148800.0,
1998-03-19,0.0,3.66,3.58,3.61,4341200.0,
1998-03-20,0.0,3.62,3.48,3.5,7337200.0,
1998-03-23,0.0,3.53,3.44,3.5,5582000.0,
1998-03-24,0.0,3.78,3.5,3.67,11307600.0,
1998-03-25,0.0,3.84,3.7,3.75,5022400.0,
1998-03-26,0.0,3.81,3.73,3.73,2789200.0,
1998-03-27,0.0,3.77,3.62,3.69,2968800.0,
1998-03-30,0.0,3.72,3.67,3.7,2013600.0,
1998-03-31,0.0,3.89,3.69,3.77,6969200.0,
1998-04-01,0.0,4.44,3.77,4.38,20285200.0,
1998-04-02,0.0,4.48,4.25,4.25,15920800.0,
1998-04-03,0.0,4.44,4.12,4.42,10908000.0,
1998-04-06,0.0,4.81,4.47,4.55,17501200.0,
1998-04-07,0.0,4.56,4.42,4.48,7194800.0,
1998-04-08,0.0,4.56,4.47,4.48,7591600.0,
1998-04-09,0.0,4.56,4.44,4.52,6966000.0,
1998-04-10,nan,nan,nan,nan,nan,
1998-04-13,0.0,4.75,4.5,4.52,7588400.0,
1998-04-14,0.0,4.59,4.52,4.53,3391600.0,
1998-04-15,0.0,4.75,4.53,4.72,7196800.0,
1998-04-16,0.0,4.62,4.48,4.56,10548800.0,
1998-04-17,0.0,4.59,4.53,4.56,3600800.0,
1998-04-20,0.0,4.92,4.58,4.91,13638800.0,
