DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-08-28,0.0,31.31,30.75,31.0,247600.0,
1997-08-29,0.0,30.94,30.5,30.5,112000.0,
1997-09-01,nan,nan,nan,nan,nan,
1997-09-02,0.0,31.25,30.5,31.19,171200.0,
1997-09-03,0.0,31.75,31.12,31.31,192100.0,
1997-09-04,0.0,31.81,31.31,31.5,238500.0,
1997-09-05,0.0,32.5,31.69,32.44,524000.0,
1997-09-08,0.0,32.44,32.25,32.38,209200.0,
1997-09-09,0.0,32.44,32.0,32.12,161100.0,
1997-09-10,0.0,32.19,31.94,32.06,103100.0,
1997-09-11,0.0,31.94,31.31,31.31,159100.0,
1997-09-12,0.0,32.12,31.5,32.0,384700.0,
1997-09-15,0.0,32.19,31.88,32.12,247000.0,
1997-09-16,0.0,33.06,32.12,32.94,1520400.0,
1997-09-17,0.0,33.69,33.06,33.25,745500.0,
1997-09-18,0.0,34.0,33.25,33.62,385900.0,
1997-09-19,0.0,34.12,33.12,34.06,488000.0,
1997-09-22,0.0,35.62,34.0,34.62,582600.0,
1997-09-23,0.0,34.44,33.94,34.19,250700.0,
1997-09-24,0.0,35.94,34.69,35.44,565900.0,
1997-09-25,0.0,35.94,35.12,35.31,405500.0,
1997-09-26,0.0,35.62,35.0,35.12,294000.0,
1997-09-29,0.0,35.69,34.88,35.69,262100.0,
1997-09-30,0.0,35.81,35.19,35.25,515100.0,
1997-10-01,0.0,36.69,35.25,36.31,305900.0,
1997-10-02,0.0,36.5,36.19,36.5,313800.0,
1997-10-03,0.0,36.56,35.62,35.94,336800.0,
1997-10-06,0.0,36.44,36.06,36.25,99500.0,
1997-10-07,0.0,37.0,36.0,36.25,243900.0,
1997-10-08,0.0,36.31,35.56,35.56,154300.0,
1997-10-09,0.0,36.0,35.06,35.75,168400.0,
1997-10-10,0.0,36.06,35.38,35.94,157500.0,
1997-10-13,0.0,36.12,35.75,35.88,93600.0,
1997-10-14,0.0,36.31,35.88,36.0,178700.0,
1997-10-15,0.0,36.0,35.38,35.62,335700.0,
1997-10-16,0.0,35.94,35.56,35.62,234700.0,
1997-10-17,0.0,35.5,34.88,35.5,145500.0,
1997-10-20,0.0,35.75,35.25,35.44,142300.0,
1997-10-21,0.0,35.5,35.0,35.06,229800.0,
1997-10-22,0.0,35.06,33.88,33.94,356800.0,
1997-10-23,0.0,34.75,33.88,34.38,299900.0,
1997-10-24,0.0,34.94,34.19,34.25,248300.0,
1997-10-27,0.0,34.38,31.69,31.69,231900.0,
1997-10-28,0.0,33.75,31.06,32.88,414900.0,
1997-10-29,0.0,33.94,33.0,33.44,287800.0,
1997-10-30,0.0,33.5,33.06,33.31,202300.0,
1997-10-31,0.0,34.0,33.44,33.75,183100.0,
1997-11-03,0.0,34.06,33.5,33.75,321500.0,
1997-11-04,0.0,33.75,33.31,33.5,285700.0,
1997-11-05,0.0,33.62,33.25,33.31,379500.0,
1997-11-06,0.0,33.25,33.0,33.25,227900.0,
1997-11-07,0.0,33.0,32.31,32.56,136600.0,
1997-11-10,0.0,33.38,32.62,33.12,164800.0,
1997-11-11,0.0,33.5,32.81,33.06,69800.0,
1997-11-12,0.0,33.12,32.38,32.44,95000.0,
1997-11-13,0.0,33.0,32.0,32.06,140200.0,
1997-11-14,0.0,32.31,31.75,32.31,473400.0,
1997-11-17,0.0,33.5,32.56,33.25,210700.0,
1997-11-18,0.0,33.38,32.75,33.25,156700.0,
1997-11-19,0.0,33.88,33.12,33.62,140500.0,
1997-11-20,0.0,34.44,33.56,34.31,183100.0,
1997-11-21,0.0,34.62,34.31,34.62,425100.0,
1997-11-24,0.0,35.0,34.25,34.31,423300.0,
1997-11-25,0.0,34.75,33.81,34.0,269400.0,
1997-11-26,0.0,34.12,33.25,33.31,111500.0,
1997-11-27,nan,nan,nan,nan,nan,
1997-11-28,0.0,33.5,33.12,33.44,60000.0,
1997-12-01,0.0,33.5,33.0,33.31,157400.0,
1997-12-02,0.0,33.5,33.0,33.06,228600.0,
1997-12-03,0.0,33.12,32.88,32.94,166700.0,
1997-12-04,0.0,32.94,31.62,31.75,509700.0,
1997-12-05,0.0,31.62,29.75,29.94,657000.0,
1997-12-08,0.0,30.75,30.0,30.19,403800.0,
1997-12-09,0.0,31.06,30.06,30.06,420900.0,
1997-12-10,0.0,29.94,29.5,29.69,371800.0,
1997-12-11,0.0,29.5,28.62,28.62,367700.0,
1997-12-12,0.0,28.88,27.12,27.56,413500.0,
1997-12-15,0.0,27.56,26.69,26.69,495800.0,
1997-12-16,0.0,28.94,27.25,28.62,1389500.0,
1997-12-17,0.0,29.0,28.38,28.94,292700.0,
1997-12-18,0.0,29.12,28.38,28.5,544700.0,
1997-12-19,0.0,28.44,27.75,28.38,491100.0,
1997-12-22,0.0,29.0,28.38,28.81,269300.0,
1997-12-23,0.0,28.5,28.06,28.06,342500.0,
1997-12-24,0.0,28.38,28.06,28.25,99700.0,
1997-12-25,nan,nan,nan,nan,nan,
1997-12-26,0.0,28.44,28.06,28.06,39600.0,
1997-12-29,0.0,28.69,28.25,28.5,160900.0,
1997-12-30,0.0,29.31,28.62,29.19,143900.0,
1997-12-31,0.0,30.31,29.38,30.31,182300.0,
1998-01-01,nan,nan,nan,nan,nan,
1998-01-02,0.0,30.62,29.88,30.0,347900.0,
1998-01-05,0.0,30.25,29.75,30.25,477800.0,
1998-01-06,0.0,30.25,29.62,30.0,383800.0,
1998-01-07,0.0,30.06,29.62,29.69,437200.0,
1998-01-08,0.0,29.94,28.75,29.12,840100.0,
1998-01-09,0.0,29.25,27.81,28.44,303500.0,
1998-01-12,0.0,28.12,27.38,27.94,214700.0,
1998-01-13,0.0,28.19,27.75,27.94,129900.0,
1998-01-14,0.0,28.19,27.81,28.0,269100.0,
1998-01-15,0.0,28.38,27.69,27.69,200900.0,
1998-01-16,0.0,28.62,27.75,28.56,333400.0,
1998-01-19,nan,nan,nan,nan,nan,
1998-01-20,0.0,29.19,28.19,28.94,181200.0,
1998-01-21,0.0,29.12,28.56,28.75,219500.0,
1998-01-22,0.0,29.19,28.56,29.06,255300.0,
1998-01-23,0.0,29.25,28.38,28.81,264200.0,
1998-01-26,0.0,29.25,28.81,28.81,95600.0,
1998-01-27,0.0,29.38,28.94,29.06,91600.0,
1998-01-28,0.0,29.12,28.5,29.0,165700.0,
1998-01-29,0.0,30.06,29.06,29.69,209700.0,
1998-01-30,0.0,30.19,29.75,30.12,424300.0,
1998-02-02,0.0,31.06,30.69,30.75,656600.0,
1998-02-03,0.0,32.0,30.94,32.0,203900.0,
1998-02-04,0.0,32.25,31.62,31.88,294900.0,
1998-02-05,0.0,32.38,31.56,31.81,192800.0,
1998-02-06,0.0,31.88,31.38,31.5,154500.0,
1998-02-09,0.0,31.94,31.44,31.62,133000.0,
1998-02-10,0.0,32.0,31.44,31.69,176000.0,
1998-02-11,0.0,32.12,31.62,32.12,88600.0,
1998-02-12,0.0,32.5,31.44,32.25,168000.0,
1998-02-13,0.0,32.88,32.12,32.56,175300.0,
1998-02-16,nan,nan,nan,nan,nan,
1998-02-17,0.0,32.62,32.12,32.56,318700.0,
