DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-08-28,0.0,19.88,19.25,19.44,87500.0,
1997-08-29,0.0,19.19,18.62,18.94,72500.0,
1997-09-01,nan,nan,nan,nan,nan,
1997-09-02,0.0,19.5,18.88,19.38,143200.0,
1997-09-03,0.0,19.25,19.0,19.25,58600.0,
1997-09-04,0.0,19.19,18.88,19.19,62800.0,
1997-09-05,0.0,19.44,19.0,19.25,91800.0,
1997-09-08,0.0,19.25,19.06,19.19,35700.0,
1997-09-09,0.0,19.81,19.0,19.75,68600.0,
1997-09-10,0.0,20.12,19.5,19.88,73800.0,
1997-09-11,0.0,21.0,19.88,20.12,240900.0,
1997-09-12,0.0,20.5,19.94,20.0,96200.0,
1997-09-15,0.0,20.5,20.19,20.44,59600.0,
1997-09-16,0.0,21.44,20.75,21.0,338600.0,
1997-09-17,0.0,21.06,20.94,21.0,46600.0,
1997-09-18,0.0,21.0,20.62,20.69,73700.0,
1997-09-19,0.0,20.69,20.25,20.38,134600.0,
1997-09-22,0.0,20.69,20.31,20.44,136700.0,
1997-09-23,0.0,20.62,19.75,20.0,94800.0,
1997-09-24,0.0,20.19,19.56,19.56,96100.0,
1997-09-25,0.0,19.38,19.0,19.0,193200.0,
1997-09-26,0.0,20.12,19.0,20.0,86500.0,
1997-09-29,0.0,20.06,19.75,19.75,99100.0,
1997-09-30,0.0,20.44,19.69,20.31,159200.0,
1997-10-01,0.0,20.56,20.0,20.38,115800.0,
1997-10-02,0.0,20.62,20.38,20.5,63800.0,
1997-10-03,0.0,20.69,20.38,20.5,101000.0,
1997-10-06,0.0,21.25,20.5,21.0,170400.0,
1997-10-07,0.0,21.12,20.44,20.5,170800.0,
1997-10-08,0.0,20.56,20.31,20.44,101600.0,
1997-10-09,0.0,20.44,20.06,20.12,131800.0,
1997-10-10,0.0,20.5,20.0,20.5,77000.0,
1997-10-13,0.0,20.44,20.06,20.31,54200.0,
1997-10-14,0.0,20.44,20.12,20.44,74300.0,
1997-10-15,0.0,20.31,20.19,20.19,39200.0,
1997-10-16,0.0,20.19,19.69,19.69,56200.0,
1997-10-17,0.0,19.44,18.94,19.0,102500.0,
1997-10-20,0.0,19.38,18.88,19.12,153400.0,
1997-10-21,0.0,20.12,19.12,20.06,69800.0,
1997-10-22,0.0,20.0,19.38,19.5,27300.0,
1997-10-23,0.0,19.62,19.0,19.5,83300.0,
1997-10-24,0.0,19.75,19.0,19.12,45700.0,
1997-10-27,0.0,19.31,17.88,17.88,88400.0,
1997-10-28,0.0,19.25,16.75,19.12,208100.0,
1997-10-29,0.0,19.44,18.5,18.69,56400.0,
1997-10-30,0.0,19.0,18.5,18.75,95800.0,
1997-10-31,0.0,19.0,18.62,18.75,167600.0,
1997-11-03,0.0,19.75,19.0,19.38,150200.0,
1997-11-04,0.0,19.56,18.75,18.75,66000.0,
1997-11-05,0.0,19.25,18.94,19.12,235700.0,
1997-11-06,0.0,19.25,18.25,18.44,222400.0,
1997-11-07,0.0,18.75,18.0,18.06,273800.0,
1997-11-10,0.0,18.69,18.25,18.5,183600.0,
1997-11-11,0.0,18.94,18.5,18.75,105100.0,
1997-11-12,0.0,18.88,18.62,18.62,126200.0,
1997-11-13,0.0,18.75,17.5,18.06,497600.0,
1997-11-14,0.0,18.06,17.62,17.62,168800.0,
1997-11-17,0.0,18.38,17.75,17.94,206600.0,
1997-11-18,0.0,18.06,17.69,18.06,99300.0,
1997-11-19,0.0,17.94,17.25,17.31,205900.0,
1997-11-20,0.0,17.5,17.31,17.5,143100.0,
1997-11-21,0.0,18.06,17.41,18.0,182400.0,
1997-11-24,0.0,17.88,16.94,16.94,206600.0,
1997-11-25,0.0,17.31,16.81,17.0,147400.0,
1997-11-26,0.0,17.38,16.94,17.0,113500.0,
1997-11-27,nan,nan,nan,nan,nan,
1997-11-28,0.0,17.12,17.0,17.06,105200.0,
1997-12-01,0.0,17.12,16.88,17.06,135300.0,
1997-12-02,0.0,17.12,16.88,17.0,120300.0,
1997-12-03,0.0,16.94,16.56,16.56,146400.0,
1997-12-04,0.0,16.75,16.5,16.56,190100.0,
1997-12-05,0.0,17.56,16.62,17.56,736400.0,
1997-12-08,0.0,19.0,17.69,18.25,423400.0,
1997-12-09,0.0,18.44,17.81,18.0,289900.0,
1997-12-10,0.0,18.25,18.0,18.25,133200.0,
1997-12-11,0.0,17.88,17.44,17.62,256400.0,
1997-12-12,0.0,17.94,17.75,17.81,142600.0,
1997-12-15,0.0,18.12,17.56,17.56,168900.0,
1997-12-16,0.0,17.94,17.62,17.88,70900.0,
1997-12-17,0.0,18.38,17.94,18.0,93200.0,
1997-12-18,0.0,18.25,17.5,17.62,88700.0,
1997-12-19,0.0,17.88,17.0,17.81,149700.0,
1997-12-22,0.0,18.12,17.88,18.0,106400.0,
1997-12-23,0.0,18.0,17.81,17.88,85700.0,
1997-12-24,0.0,17.88,17.75,17.75,62300.0,
1997-12-25,nan,nan,nan,nan,nan,
1997-12-26,0.0,17.94,17.81,17.88,36400.0,
1997-12-29,0.0,17.94,17.81,17.88,65300.0,
1997-12-30,0.0,18.0,17.88,17.88,96000.0,
1997-12-31,0.0,18.81,17.94,18.75,145000.0,
1998-01-01,nan,nan,nan,nan,nan,
1998-01-02,0.0,18.5,18.19,18.31,102200.0,
1998-01-05,0.0,18.56,18.38,18.56,160000.0,
1998-01-06,0.0,18.5,18.19,18.31,129800.0,
