DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2010-12-30,nan,nan,nan,15.25,0.0,
2010-12-31,15.15,15.64,15.1,15.56,996455.0,
2011-01-03,15.77,15.82,14.52,14.82,3521596.0,
2011-01-04,14.94,15.16,14.19,14.47,3988748.0,
2011-01-05,14.4,14.81,14.35,14.71,2175152.0,
2011-01-06,14.75,14.85,14.42,14.6,1470957.0,
2011-01-07,14.6,14.83,14.21,14.48,1050919.0,
2011-01-10,14.41,14.53,14.08,14.28,1336649.0,
2011-01-11,14.5,14.78,14.32,14.52,2135933.0,
2011-01-12,14.74,14.79,14.41,14.52,1270678.0,
2011-01-13,14.45,14.68,14.31,14.56,872815.0,
2011-01-14,14.57,14.67,14.23,14.54,970052.0,
2011-01-17,nan,nan,nan,nan,nan,
2011-01-18,14.55,14.65,14.45,14.52,877561.0,
2011-01-19,14.52,14.55,13.72,13.9,1873252.0,
2011-01-20,13.79,13.99,13.56,13.69,1529013.0,
2011-01-21,13.8,13.92,13.68,13.76,1535357.0,
2011-01-24,13.7,14.43,13.51,14.01,2110596.0,
2011-01-25,13.85,13.96,13.71,13.94,1234684.0,
2011-01-26,13.93,14.5,13.9,14.39,2052114.0,
2011-01-27,14.35,14.68,14.21,14.6,991919.0,
2011-01-28,14.22,14.6,13.8,13.93,2218363.0,
2011-01-31,14.09,14.13,13.73,13.84,1592468.0,
2011-02-01,13.81,14.51,13.81,14.3,1708454.0,
2011-02-02,14.2,14.56,14.08,14.12,842962.0,
2011-02-03,14.14,14.35,13.85,14.27,901396.0,
2011-02-04,14.29,14.63,14.22,14.58,1148910.0,
2011-02-07,14.63,15.33,14.59,14.95,1818387.0,
2011-02-08,14.89,15.17,14.78,15.17,1670992.0,
2011-02-09,15.05,15.47,15.0,15.2,1147332.0,
2011-02-10,15.09,15.51,14.82,15.4,2379256.0,
2011-02-11,15.34,15.57,15.19,15.5,836036.0,
2011-02-14,15.45,15.63,15.34,15.52,1146050.0,
2011-02-15,15.41,15.61,15.27,15.54,1358345.0,
2011-02-16,15.65,15.95,15.57,15.66,1736429.0,
2011-02-17,15.74,16.75,15.62,16.52,3096298.0,
2011-02-18,16.22,16.5,16.11,16.2,2949178.0,
2011-02-21,nan,nan,nan,nan,nan,
2011-02-22,15.95,16.07,15.63,15.81,2098862.0,
2011-02-23,15.79,16.0,14.59,15.27,2967879.0,
2011-02-24,15.25,15.28,14.76,15.02,2013319.0,
2011-02-25,15.18,15.39,14.95,15.26,1367551.0,
2011-02-28,15.35,15.35,15.0,15.32,1011355.0,
2011-03-01,15.32,15.53,14.68,14.82,1854718.0,
2011-03-02,14.85,15.33,14.8,15.21,1104667.0,
2011-03-03,15.41,16.33,15.36,16.16,2488547.0,
2011-03-04,16.06,16.16,15.78,16.0,1122271.0,
2011-03-07,16.04,16.11,15.33,15.37,1522971.0,
2011-03-08,15.32,16.09,15.21,15.94,1335024.0,
2011-03-09,15.9,16.04,15.6,15.88,3296859.0,
2011-03-10,15.55,15.9,15.22,15.42,3230006.0,
2011-03-11,15.36,15.75,15.17,15.61,2171302.0,
