DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2004-06-10,6.33,6.33,6.03,6.11,35115900.0,
2004-06-11,nan,nan,nan,nan,nan,
2004-06-14,6.08,6.13,6.05,6.07,2313600.0,
2004-06-15,6.07,6.25,6.07,6.25,2499600.0,
2004-06-16,6.25,6.37,6.25,6.33,2810100.0,
2004-06-17,6.35,6.36,6.26,6.34,1391601.0,
2004-06-18,6.35,6.4,6.33,6.34,708300.0,
2004-06-21,6.33,6.37,6.3,6.36,508500.0,
2004-06-22,6.33,6.36,6.3,6.35,1125900.0,
2004-06-23,6.28,6.3,6.16,6.3,1033500.0,
2004-06-24,6.26,6.34,6.24,6.33,858600.0,
2004-06-25,6.33,6.35,6.25,6.33,809100.0,
2004-06-28,6.25,6.36,6.22,6.33,1184400.0,
2004-06-29,6.3,6.4,6.3,6.4,608700.0,
2004-06-30,6.35,6.4,6.35,6.37,552600.0,
2004-07-01,6.34,6.38,6.33,6.36,380499.0,
2004-07-02,6.35,6.38,6.27,6.38,246600.0,
2004-07-05,nan,nan,nan,nan,nan,
2004-07-06,6.35,6.37,6.33,6.36,137100.0,
2004-07-07,6.34,6.35,6.33,6.35,181200.0,
2004-07-08,6.36,6.36,6.33,6.34,190701.0,
2004-07-09,6.35,6.36,6.33,6.33,226500.0,
2004-07-12,6.33,6.35,6.3,6.3,176700.0,
2004-07-13,6.28,6.35,6.26,6.35,578100.0,
2004-07-14,6.34,6.37,6.32,6.37,303600.0,
2004-07-15,6.34,6.34,6.3,6.34,313200.0,
2004-07-16,6.34,6.36,6.3,6.3,268800.0,
2004-07-19,6.3,6.33,6.29,6.33,212700.0,
2004-07-20,6.33,6.35,6.29,6.33,505200.0,
2004-07-21,6.33,6.35,6.32,6.34,165000.0,
2004-07-22,6.33,6.4,6.32,6.4,231201.0,
2004-07-23,6.25,6.3,6.16,6.3,1555800.0,
2004-07-26,6.22,6.26,6.21,6.26,420900.0,
2004-07-27,6.26,6.28,6.26,6.26,113700.0,
2004-07-28,6.25,6.3,6.23,6.29,131100.0,
2004-07-29,6.25,6.29,6.25,6.29,91899.0,
2004-07-30,6.3,6.35,6.28,6.31,1072200.0,
2004-08-02,6.3,6.35,6.28,6.34,203100.0,
2004-08-03,6.34,6.41,6.33,6.39,222900.0,
2004-08-04,6.35,6.37,6.33,6.35,386400.0,
2004-08-05,6.49,6.66,6.38,6.56,1142601.0,
2004-08-06,6.53,6.53,6.43,6.47,144900.0,
2004-08-09,6.44,6.44,6.36,6.36,469800.0,
2004-08-10,6.33,6.48,6.33,6.43,328800.0,
2004-08-11,6.45,6.48,6.42,6.43,138900.0,
2004-08-12,6.44,6.49,6.41,6.41,279900.0,
2004-08-13,6.45,6.45,6.37,6.4,420300.0,
2004-08-16,6.35,6.42,6.35,6.39,473700.0,
2004-08-17,6.39,6.4,6.26,6.28,743400.0,
2004-08-18,6.3,6.32,6.26,6.3,68100.0,
2004-08-19,6.3,6.4,6.3,6.37,120399.0,
2004-08-20,6.39,6.47,6.38,6.47,150300.0,
2004-08-23,6.43,6.44,6.35,6.39,663300.0,
2004-08-24,6.4,6.44,6.35,6.43,185400.0,
2004-08-25,6.45,6.47,6.37,6.45,91800.0,
2004-08-26,6.46,6.49,6.44,6.47,188301.0,
2004-08-27,6.48,6.5,6.42,6.44,211800.0,
2004-08-30,6.46,6.48,6.42,6.47,63300.0,
2004-08-31,6.47,6.53,6.47,6.5,721200.0,
2004-09-01,6.53,6.61,6.53,6.58,710400.0,
2004-09-02,6.54,6.66,6.54,6.65,1026699.0,
2004-09-03,6.67,6.97,6.63,6.87,161100.0,
2004-09-06,nan,nan,nan,nan,nan,
2004-09-07,6.9,6.92,6.85,6.91,446700.0,
2004-09-08,6.83,6.84,6.77,6.77,191700.0,
2004-09-09,6.85,7.23,6.85,7.13,963999.0,
2004-09-10,7.17,7.53,7.17,7.45,961800.0,
2004-09-13,7.61,7.63,7.45,7.52,852000.0,
2004-09-14,7.47,7.63,7.44,7.59,709200.0,
2004-09-15,7.56,7.58,7.48,7.5,530700.0,
2004-09-16,7.49,7.49,7.34,7.39,688599.0,
2004-09-17,7.38,7.38,7.3,7.33,565800.0,
2004-09-20,7.37,7.56,7.37,7.47,696600.0,
2004-09-21,7.45,7.5,7.42,7.45,571200.0,
2004-09-22,7.43,7.5,7.43,7.48,474300.0,
2004-09-23,7.48,7.7,7.43,7.64,973599.0,
2004-09-24,7.6,7.6,7.45,7.53,503700.0,
2004-09-27,7.5,7.6,7.47,7.54,965100.0,
2004-09-28,7.6,7.73,7.53,7.69,1164000.0,
2004-09-29,7.73,7.88,7.7,7.88,1621200.0,
2004-09-30,7.86,7.86,7.66,7.69,3045900.0,
2004-10-01,7.7,7.85,7.65,7.84,1493400.0,
2004-10-04,8.0,8.25,7.98,8.14,1009200.0,
2004-10-05,8.15,8.27,8.08,8.08,797400.0,
2004-10-06,8.1,8.16,8.08,8.1,382500.0,
2004-10-07,8.28,8.32,8.13,8.23,992199.0,
2004-10-08,8.26,8.4,8.26,8.3,425700.0,
2004-10-11,8.32,8.47,8.32,8.44,148500.0,
2004-10-12,8.4,8.4,8.23,8.32,573000.0,
2004-10-13,8.33,8.39,8.24,8.27,451200.0,
2004-10-14,8.27,8.33,8.26,8.3,192900.0,
2004-10-15,8.3,8.3,8.04,8.04,520800.0,
2004-10-18,8.02,8.2,7.92,8.14,337200.0,
2004-10-19,8.17,8.18,8.08,8.15,474600.0,
2004-10-20,8.13,8.39,8.1,8.36,223500.0,
2004-10-21,8.36,8.46,8.28,8.44,102600.0,
2004-10-22,8.42,8.58,8.25,8.34,231900.0,
2004-10-25,8.34,8.42,8.33,8.39,172500.0,
2004-10-26,8.4,8.46,8.2,8.46,373800.0,
2004-10-27,8.47,8.74,8.47,8.72,408900.0,
