DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-08-27,0.0,171.5,162.31,164.28,409600.0,
1997-08-28,0.0,166.25,161.44,163.84,287700.0,
1997-08-29,0.0,170.19,161.0,167.12,281600.0,
1997-09-01,nan,nan,nan,nan,nan,
1997-09-02,0.0,175.88,168.44,174.34,232500.0,
1997-09-03,0.0,175.44,170.62,172.38,304700.0,
1997-09-04,0.0,177.19,170.62,172.38,384700.0,
1997-09-05,0.0,178.94,174.12,175.44,426600.0,
1997-09-08,0.0,175.44,167.12,167.12,554100.0,
1997-09-09,0.0,169.31,165.81,168.88,559400.0,
1997-09-10,0.0,174.12,170.19,171.17,389800.0,
1997-09-11,0.0,174.12,169.75,173.91,350400.0,
1997-09-12,0.0,175.44,172.38,173.91,327600.0,
1997-09-15,0.0,174.78,165.38,166.03,354400.0,
1997-09-16,0.0,168.0,157.5,162.31,609200.0,
1997-09-17,0.0,170.62,152.25,168.88,826900.0,
1997-09-18,0.0,170.62,161.88,163.62,507100.0,
1997-09-19,0.0,169.31,164.06,168.0,351400.0,
1997-09-22,0.0,170.19,165.81,167.12,473100.0,
1997-09-23,0.0,168.88,161.0,168.44,569700.0,
1997-09-24,0.0,169.75,163.41,166.25,409700.0,
1997-09-25,0.0,166.69,161.22,162.97,253200.0,
1997-09-26,0.0,164.06,157.06,157.5,499800.0,
1997-09-29,0.0,163.62,150.5,162.75,1284000.0,
1997-09-30,0.0,174.56,161.44,173.36,972900.0,
1997-10-01,0.0,188.12,175.66,185.06,2095100.0,
1997-10-02,0.0,194.69,180.69,193.7,1259000.0,
1997-10-03,0.0,198.41,188.56,194.25,658400.0,
1997-10-06,0.0,196.0,189.88,192.5,378900.0,
1997-10-07,0.0,198.62,191.62,195.67,755100.0,
1997-10-08,0.0,198.41,193.59,196.44,491300.0,
1997-10-09,0.0,212.19,194.25,206.5,1104800.0,
1997-10-10,0.0,207.38,204.75,206.06,434500.0,
1997-10-13,0.0,207.81,200.81,202.12,435200.0,
1997-10-14,0.0,203.44,191.84,195.56,535300.0,
1997-10-15,0.0,200.38,191.62,197.97,443300.0,
1997-10-16,0.0,208.25,202.56,206.28,1284600.0,
1997-10-17,0.0,207.81,194.69,201.69,839500.0,
1997-10-20,0.0,204.75,196.88,203.44,501600.0,
1997-10-21,0.0,207.38,201.25,206.94,649300.0,
1997-10-22,0.0,222.69,202.34,217.0,770300.0,
1997-10-23,0.0,218.75,206.5,213.28,922200.0,
1997-10-24,0.0,218.31,198.62,202.12,628500.0,
1997-10-27,0.0,201.69,180.69,180.69,752900.0,
1997-10-28,0.0,195.56,166.25,193.81,1225500.0,
1997-10-29,0.0,196.88,185.5,192.06,494400.0,
1997-10-30,0.0,190.31,181.12,185.06,394100.0,
1997-10-31,0.0,197.75,186.38,192.5,704500.0,
1997-11-03,0.0,199.94,195.12,199.72,380300.0,
1997-11-04,0.0,201.69,193.59,200.38,539900.0,
1997-11-05,0.0,208.69,203.88,206.94,566300.0,
1997-11-06,0.0,214.81,206.94,212.19,447500.0,
1997-11-07,0.0,215.69,201.69,214.59,342200.0,
1997-11-10,0.0,217.0,203.0,203.22,405300.0,
1997-11-11,0.0,204.31,193.38,196.44,349300.0,
1997-11-12,0.0,198.62,187.69,189.44,374000.0,
1997-11-13,0.0,195.12,180.69,194.69,459900.0,
1997-11-14,0.0,208.69,197.75,206.5,405200.0,
1997-11-17,0.0,210.44,207.38,207.38,504500.0,
1997-11-18,0.0,207.81,201.25,201.91,294000.0,
1997-11-19,0.0,202.12,195.78,198.84,260500.0,
1997-11-20,0.0,203.44,198.19,199.28,322200.0,
1997-11-21,0.0,200.81,191.19,192.72,351700.0,
1997-11-24,0.0,194.25,178.06,181.34,597100.0,
1997-11-25,0.0,191.62,183.31,189.0,478900.0,
1997-11-26,0.0,193.81,188.56,190.75,217400.0,
