DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-08-27,0.0,8.38,8.23,8.31,1246800.0,
1997-08-28,0.0,8.5,8.23,8.37,3801600.0,
1997-08-29,0.0,8.53,8.38,8.42,952398.0,
1997-09-01,nan,nan,nan,nan,nan,
1997-09-02,0.0,8.75,8.46,8.64,2987202.0,
1997-09-03,0.0,8.78,8.5,8.5,2877198.0,
1997-09-04,0.0,8.71,8.4,8.69,1530402.0,
1997-09-05,0.0,9.38,8.71,9.36,7129998.0,
1997-09-08,0.0,9.5,8.98,9.17,2961198.0,
1997-09-09,0.0,9.19,8.98,9.03,1212402.0,
1997-09-10,0.0,9.11,8.71,8.74,2557602.0,
1997-09-11,0.0,8.75,8.21,8.33,6088800.0,
1997-09-12,0.0,8.55,7.94,8.42,4740000.0,
1997-09-15,0.0,8.5,7.88,7.98,3666000.0,
1997-09-16,0.0,8.67,7.98,8.65,4180002.0,
1997-09-17,0.0,8.68,8.17,8.19,1768002.0,
1997-09-18,0.0,8.55,8.19,8.25,2226798.0,
1997-09-19,0.0,8.55,8.21,8.46,2059200.0,
1997-09-22,0.0,8.84,8.48,8.63,2726802.0,
1997-09-23,0.0,8.78,8.4,8.57,1611198.0,
1997-09-24,0.0,8.69,8.42,8.5,1512000.0,
1997-09-25,0.0,8.84,8.48,8.63,2342400.0,
1997-09-26,0.0,8.8,8.46,8.57,2532402.0,
1997-09-29,0.0,8.61,8.44,8.48,1617198.0,
1997-09-30,0.0,8.5,8.23,8.39,3298398.0,
1997-10-01,0.0,8.48,8.34,8.37,1675602.0,
1997-10-02,0.0,8.42,8.25,8.33,2128398.0,
1997-10-03,0.0,8.55,8.25,8.36,2047200.0,
1997-10-06,0.0,8.42,8.19,8.28,1202400.0,
1997-10-07,0.0,9.11,8.25,9.09,5434398.0,
1997-10-08,0.0,9.5,9.03,9.28,7484400.0,
1997-10-09,0.0,9.78,9.23,9.53,4064802.0,
1997-10-10,0.0,9.55,9.3,9.37,1631202.0,
1997-10-13,0.0,10.26,9.67,10.2,7303602.0,
1997-10-14,0.0,10.51,9.94,10.43,6915600.0,
1997-10-15,0.0,10.4,10.07,10.21,4354002.0,
1997-10-16,0.0,10.26,9.48,9.9,2730402.0,
1997-10-17,0.0,10.09,9.73,10.0,4343598.0,
1997-10-20,0.0,10.21,9.84,10.07,4139598.0,
1997-10-21,0.0,13.01,11.67,12.44,27399198.0,
1997-10-22,0.0,12.71,12.21,12.51,10751598.0,
1997-10-23,0.0,12.34,12.01,12.26,8322798.0,
1997-10-24,0.0,12.51,12.01,12.07,4177998.0,
1997-10-27,0.0,12.19,10.88,11.07,8255598.0,
1997-10-28,0.0,12.44,10.34,12.05,10906002.0,
1997-10-29,0.0,12.38,11.67,12.2,4700400.0,
1997-10-30,0.0,12.21,11.67,11.69,5010402.0,
1997-10-31,0.0,12.34,11.88,12.25,5200002.0,
1997-11-03,0.0,12.51,12.28,12.38,4528398.0,
1997-11-04,0.0,13.05,12.4,12.92,6820398.0,
1997-11-05,0.0,13.3,12.63,12.71,3360000.0,
1997-11-06,0.0,12.7,12.48,12.56,1601202.0,
1997-11-07,0.0,12.42,12.01,12.26,2531202.0,
1997-11-10,0.0,13.09,12.15,12.84,4356798.0,
1997-11-11,0.0,13.01,12.69,12.88,2266398.0,
1997-11-12,0.0,13.17,11.36,11.6,6139200.0,
1997-11-13,0.0,12.57,11.88,12.0,14115600.0,
1997-11-14,0.0,12.5,11.88,12.21,5181600.0,
1997-11-17,0.0,13.03,12.51,13.01,3843600.0,
1997-11-18,0.0,13.16,12.59,12.69,2014398.0,
1997-11-19,0.0,12.84,10.67,11.03,3012402.0,
1997-11-20,0.0,13.03,12.05,12.58,7789602.0,
