DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2011-05-26,12.09,13.31,12.05,13.09,1293441.0,
2011-05-27,13.16,13.25,12.77,13.13,755415.0,
2011-05-30,nan,nan,nan,nan,nan,
2011-05-31,13.22,13.36,12.95,13.33,716000.0,
2011-06-01,12.98,13.37,12.67,12.67,802515.0,
2011-06-02,12.67,12.85,12.47,12.64,619098.0,
2011-06-03,12.46,12.59,12.24,12.28,785314.0,
2011-06-06,12.25,12.47,12.03,12.03,494529.0,
2011-06-07,12.07,12.17,11.99,11.99,548372.0,
2011-06-08,12.0,12.06,11.63,11.67,771072.0,
2011-06-09,11.69,12.01,11.53,12.01,513944.0,
2011-06-10,11.83,12.06,11.81,11.94,607094.0,
2011-06-13,11.93,12.33,11.57,11.96,1036536.0,
2011-06-14,12.11,12.36,11.94,12.07,629834.0,
2011-06-15,11.91,12.13,11.81,11.95,501766.0,
2011-06-16,11.95,12.21,11.72,11.97,396646.0,
2011-06-17,12.08,12.19,11.69,11.85,897380.0,
2011-06-20,11.79,12.0,11.73,11.96,361160.0,
2011-06-21,12.04,12.59,12.01,12.56,499088.0,
2011-06-22,12.5,12.69,12.43,12.44,306104.0,
2011-06-23,12.19,12.87,11.91,12.83,433008.0,
2011-06-24,12.83,12.93,12.35,12.48,881439.0,
2011-06-27,12.59,12.59,12.03,12.06,715148.0,
2011-06-28,12.17,12.67,12.11,12.64,555170.0,
2011-06-29,12.71,12.8,12.5,12.71,247958.0,
2011-06-30,12.77,13.19,12.73,13.14,470907.0,
2011-07-01,13.16,13.57,13.0,13.52,462111.0,
2011-07-04,nan,nan,nan,nan,nan,
2011-07-05,13.5,14.17,13.4,14.12,594000.0,
2011-07-06,14.12,14.12,13.92,14.07,414022.0,
2011-07-07,14.16,14.89,14.1,14.88,777246.0,
2011-07-08,14.59,14.96,14.51,14.89,628623.0,
2011-07-11,14.87,15.05,14.52,14.71,608458.0,
2011-07-12,14.64,15.2,14.63,15.0,589617.0,
2011-07-13,15.13,15.77,15.07,15.66,953968.0,
2011-07-14,15.68,15.98,15.53,15.62,792830.0,
2011-07-15,15.81,15.82,15.52,15.79,535924.0,
2011-07-18,15.69,15.77,15.41,15.65,520094.0,
2011-07-19,15.83,17.27,15.78,17.07,1242237.0,
2011-07-20,17.56,17.56,16.25,16.99,1057162.0,
2011-07-21,17.14,17.98,16.82,17.81,1713414.0,
2011-07-22,17.89,18.19,17.8,17.91,658806.0,
2011-07-25,17.68,17.9,17.39,17.46,587954.0,
2011-07-26,17.43,17.49,16.87,16.97,727972.0,
2011-07-27,16.87,16.87,14.67,14.67,2439586.0,
2011-07-28,14.41,15.26,13.94,15.03,2358258.0,
2011-07-29,14.67,14.93,14.19,14.27,792240.0,
2011-08-01,14.67,14.83,13.53,13.95,835698.0,
2011-08-02,14.09,14.09,13.35,13.36,949716.0,
2011-08-03,13.59,13.59,12.75,13.46,1022082.0,
2011-08-04,13.23,13.32,12.17,12.34,1606593.0,
2011-08-05,12.51,12.63,11.44,11.49,1614172.0,
2011-08-08,10.89,11.33,10.2,10.39,2588598.0,
2011-08-09,10.41,11.49,10.2,11.47,1325080.0,
2011-08-10,11.21,11.21,10.54,10.57,925192.0,
2011-08-11,11.1,12.0,10.64,11.6,1011924.0,
2011-08-12,11.74,12.41,11.53,12.0,645645.0,
2011-08-15,12.26,12.99,12.26,12.73,946510.0,
2011-08-16,12.67,12.67,11.87,11.97,942146.0,
2011-08-17,12.07,12.25,11.37,11.6,743322.0,
2011-08-18,11.15,11.15,10.29,10.63,1223154.0,
2011-08-19,10.41,10.77,10.05,10.14,974385.0,
2011-08-22,10.55,10.61,9.89,10.12,1031368.0,
2011-08-23,10.21,11.31,10.04,11.28,989492.0,
2011-08-24,11.28,11.58,11.05,11.31,686172.0,
2011-08-25,11.59,11.68,10.82,10.85,713312.0,
2011-08-26,10.85,11.47,10.42,11.47,779328.0,
2011-08-29,11.76,12.15,11.64,12.07,396753.0,
2011-08-30,12.03,12.55,11.72,12.39,719556.0,
2011-08-31,12.54,12.73,11.8,12.11,840202.0,
2011-09-01,12.13,12.32,11.48,11.5,546902.0,
2011-09-02,11.05,11.37,10.77,10.83,889215.0,
2011-09-05,nan,nan,nan,nan,nan,
2011-09-06,10.51,10.69,10.29,10.64,707096.0,
2011-09-07,10.98,12.05,10.9,11.81,1169265.0,
2011-09-08,11.67,11.97,11.36,11.45,627722.0,
2011-09-09,11.35,11.47,10.67,10.8,588411.0,
2011-09-12,10.61,10.94,10.37,10.91,819278.0,
2011-09-13,10.98,11.39,10.91,11.25,537573.0,
2011-09-14,11.45,11.91,11.08,11.47,524530.0,
2011-09-15,11.61,11.79,11.53,11.77,425634.0,
2011-09-16,11.77,11.8,10.91,11.05,920388.0,
2011-09-19,10.88,11.23,10.63,11.05,539061.0,
2011-09-20,10.71,11.31,10.63,10.65,514082.0,
2011-09-21,10.67,10.85,10.07,10.09,541143.0,
2011-09-22,9.82,9.99,9.11,9.48,1211661.0,
2011-09-23,9.45,10.05,9.28,9.87,696206.0,
2011-09-26,10.19,10.57,9.74,10.5,743418.0,
2011-09-27,10.88,11.07,10.57,10.77,793838.0,
2011-09-28,10.74,10.87,9.85,9.85,974127.0,
2011-09-29,10.23,10.25,9.33,9.67,624186.0,
2011-09-30,9.49,9.65,9.3,9.33,571946.0,
2011-10-03,9.26,9.51,8.91,9.0,982674.0,
2011-10-04,9.01,10.05,8.52,9.95,949346.0,
2011-10-05,9.95,10.67,9.55,10.49,751110.0,
2011-10-06,10.44,10.82,10.21,10.8,642660.0,
2011-10-07,10.94,11.03,10.28,10.3,731985.0,
2011-10-10,10.61,11.16,10.59,11.15,503211.0,
2011-10-11,10.99,11.63,10.87,11.39,562198.0,
2011-10-12,11.58,11.85,11.42,11.77,637478.0,
2011-10-13,11.59,11.67,10.9,11.22,641956.0,
2011-10-14,11.51,11.67,11.31,11.47,645228.0,
2011-10-17,11.29,11.43,10.9,10.91,461642.0,
2011-10-18,11.01,11.55,10.6,11.4,393212.0,
2011-10-19,11.37,11.58,10.83,10.87,331398.0,
2011-10-20,10.95,11.3,10.49,11.24,453603.0,
2011-10-21,11.47,11.69,11.27,11.65,470937.0,
2011-10-24,11.76,12.61,11.7,12.57,753260.0,
2011-10-25,12.43,12.47,11.93,11.93,586178.0,
2011-10-26,12.39,12.99,12.15,12.91,1338578.0,
2011-10-27,13.19,13.33,10.67,12.69,3265008.0,
2011-10-28,10.66,10.87,10.3,10.8,1433235.0,
2011-10-31,10.82,11.48,10.77,10.85,1330254.0,
2011-11-01,10.38,10.61,10.03,10.23,1239993.0,
2011-11-02,10.53,10.83,10.3,10.75,823551.0,
2011-11-03,10.89,11.47,10.74,11.41,949563.0,
2011-11-04,11.25,11.73,11.2,11.52,699846.0,
2011-11-07,11.43,11.43,10.84,11.01,748924.0,
2011-11-08,11.15,11.27,10.75,11.19,416004.0,
2011-11-09,10.77,10.92,10.33,10.37,848078.0,
2011-11-10,10.59,11.0,10.4,10.88,531363.0,
2011-11-11,11.04,11.4,11.04,11.25,490737.0,
2011-11-14,11.58,11.58,10.87,11.05,346966.0,
2011-11-15,11.0,11.19,10.71,11.09,568480.0,
2011-11-16,11.09,11.53,10.89,11.21,594936.0,
2011-11-17,11.21,11.66,11.03,11.4,1155099.0,
2011-11-18,11.59,11.63,11.17,11.22,514233.0,
2011-11-21,11.01,11.33,10.33,10.47,870780.0,
2011-11-22,10.47,10.74,10.15,10.18,725702.0,
2011-11-23,10.07,10.1,9.77,9.83,654270.0,
2011-11-24,nan,nan,nan,nan,nan,
2011-11-25,9.76,9.99,9.47,9.49,266626.0,
2011-11-28,9.85,10.62,9.85,10.29,621800.0,
2011-11-29,10.33,10.41,9.89,10.01,402052.0,
2011-11-30,10.71,10.72,10.2,10.41,982622.0,
2011-12-01,10.39,10.41,10.23,10.27,576034.0,
2011-12-02,10.47,10.59,10.25,10.27,524036.0,
2011-12-05,10.47,10.55,10.24,10.38,675698.0,
2011-12-06,10.4,10.49,10.14,10.37,353538.0,
2011-12-07,10.3,10.42,9.89,10.35,497436.0,
2011-12-08,10.21,10.47,10.13,10.3,671349.0,
2011-12-09,10.35,10.89,10.29,10.8,778508.0,
2011-12-12,10.59,10.63,10.43,10.51,528206.0,
2011-12-13,10.65,10.79,10.01,10.17,545796.0,
2011-12-14,10.05,10.05,9.6,9.61,545032.0,
2011-12-15,9.77,9.91,9.62,9.71,450530.0,
2011-12-16,9.77,9.99,9.59,9.69,602426.0,
2011-12-19,9.73,9.93,9.58,9.65,451794.0,
2011-12-20,9.96,10.15,9.89,10.06,892977.0,
2011-12-21,9.98,9.98,9.63,9.87,392010.0,
2011-12-22,9.9,10.19,9.81,9.99,291093.0,
2011-12-23,9.99,10.03,9.87,9.97,222716.0,
2011-12-26,nan,nan,nan,nan,nan,
2011-12-27,9.96,10.27,9.87,10.23,381099.0,
2011-12-28,10.15,10.15,9.67,9.7,374104.0,
2011-12-29,9.73,9.83,9.63,9.66,455175.0,
2011-12-30,9.61,9.71,9.53,9.6,522094.0,
2012-01-02,nan,nan,nan,nan,nan,
2012-01-03,9.9,10.43,9.82,10.24,510640.0,
2012-01-04,10.15,10.35,9.98,10.33,402830.0,
2012-01-05,10.28,10.9,10.28,10.73,934088.0,
2012-01-06,10.75,11.0,10.64,10.67,495228.0,
2012-01-09,10.67,10.87,10.51,10.54,563054.0,
2012-01-10,10.75,10.81,10.64,10.69,1040624.0,
2012-01-11,10.72,11.45,10.72,11.39,907254.0,
2012-01-12,11.39,11.5,11.2,11.37,782160.0,
2012-01-13,11.32,11.63,11.27,11.4,422760.0,
2012-01-16,nan,nan,nan,nan,nan,
2012-01-17,11.51,11.66,11.33,11.39,421330.0,
2012-01-18,11.4,11.68,11.3,11.63,458438.0,
2012-01-19,11.67,11.85,11.42,11.59,488618.0,
2012-01-20,11.58,12.33,11.37,12.27,1213822.0,
2012-01-23,12.35,12.87,12.33,12.49,1040242.0,
2012-01-24,12.44,12.64,12.41,12.56,661780.0,
2012-01-25,12.61,12.73,12.48,12.68,543612.0,
2012-01-26,12.82,13.13,12.69,12.76,735136.0,
2012-01-27,12.78,12.96,12.67,12.89,396711.0,
2012-01-30,12.79,12.99,12.62,12.78,683442.0,
2012-01-31,13.0,13.0,12.68,12.75,511833.0,
2012-02-01,12.81,13.25,12.75,13.14,817590.0,
2012-02-02,13.23,13.41,13.17,13.41,712448.0,
2012-02-03,13.73,14.24,13.67,14.09,1153107.0,
2012-02-06,14.2,14.46,13.97,14.24,674882.0,
2012-02-07,14.25,14.26,13.4,13.78,881247.0,
2012-02-08,13.86,13.99,13.67,13.86,591598.0,
2012-02-09,13.97,13.97,13.5,13.71,619636.0,
2012-02-10,13.46,13.69,13.41,13.51,390734.0,
2012-02-13,13.75,13.93,13.7,13.87,587436.0,
2012-02-14,13.83,13.91,13.69,13.82,655210.0,
2012-02-15,13.96,14.0,13.53,13.59,453930.0,
2012-02-16,13.59,14.36,13.55,14.36,616798.0,
2012-02-17,14.35,14.5,13.89,13.94,670970.0,
2012-02-20,nan,nan,nan,nan,nan,
2012-02-21,14.03,14.3,13.95,14.0,571929.0,
2012-02-22,14.03,14.13,13.67,13.95,505113.0,
2012-02-23,15.33,17.18,15.27,15.54,5114246.0,
2012-02-24,16.66,16.67,15.7,16.1,2920078.0,
2012-02-27,16.33,16.69,15.95,16.35,1669362.0,
2012-02-28,16.45,16.57,15.72,15.79,1187649.0,
2012-02-29,15.81,16.02,14.91,14.93,1879550.0,
2012-03-01,15.17,15.67,14.99,15.21,1139690.0,
2012-03-02,15.33,15.37,14.67,15.03,1036532.0,
2012-03-05,15.0,15.2,14.77,14.8,741206.0,
2012-03-06,14.65,14.72,13.93,14.47,1419692.0,
2012-03-07,14.59,14.97,14.55,14.58,1146060.0,
2012-03-08,14.77,15.07,14.61,14.73,632230.0,
2012-03-09,14.89,14.95,14.54,14.6,1252953.0,
2012-03-12,14.67,14.82,14.27,14.48,1074976.0,
2012-03-13,14.56,14.66,14.45,14.57,1450812.0,
2012-03-14,14.64,15.35,14.64,15.21,1040274.0,
2012-03-15,15.29,15.63,15.09,15.46,825332.0,
2012-03-16,15.54,15.64,15.36,15.38,829378.0,
2012-03-19,15.37,15.69,15.21,15.45,785595.0,
2012-03-20,15.34,15.43,14.93,15.25,575732.0,
2012-03-21,15.36,15.89,15.24,15.63,761512.0,
2012-03-22,15.4,15.6,15.07,15.41,734382.0,
2012-03-23,16.57,16.57,15.41,15.94,1141407.0,
2012-03-26,16.19,16.24,15.81,16.0,869494.0,
2012-03-27,15.97,15.99,15.62,15.71,734586.0,
2012-03-28,15.77,15.77,15.32,15.47,616990.0,
2012-03-29,15.39,15.78,15.21,15.68,547206.0,
2012-03-30,15.85,15.88,15.48,15.69,493338.0,
2012-04-02,16.27,16.6,15.88,16.17,1495734.0,
2012-04-03,16.82,17.15,16.55,16.61,4195496.0,
2012-04-04,16.42,16.62,16.17,16.53,1531406.0,
2012-04-05,16.53,16.6,15.93,16.22,7218594.0,
2012-04-06,nan,nan,nan,nan,nan,
2012-04-09,15.76,16.0,15.63,15.73,1174743.0,
2012-04-10,15.69,15.87,14.83,14.95,1858440.0,
2012-04-11,15.14,15.8,15.0,15.4,1146940.0,
2012-04-12,15.63,16.38,15.4,16.26,1452525.0,
2012-04-13,16.27,16.49,16.02,16.28,796227.0,
2012-04-16,16.68,18.37,16.67,17.52,3563390.0,
2012-04-17,17.93,18.93,17.87,18.4,2445050.0,
2012-04-18,18.34,18.5,17.7,18.37,1484282.0,
2012-04-19,18.44,18.83,17.91,18.19,1313364.0,
2012-04-20,18.56,19.01,18.31,18.63,1469306.0,
2012-04-23,18.37,18.54,17.7,18.33,1033270.0,
2012-04-24,18.34,19.17,18.19,18.98,1796644.0,
2012-04-25,19.27,19.3,18.44,18.83,1394744.0,
2012-04-26,18.67,19.45,18.17,19.37,1781474.0,
2012-04-27,19.65,19.65,19.17,19.51,1216582.0,
2012-04-30,19.45,19.89,19.33,19.66,1532780.0,
2012-05-01,19.66,21.04,19.66,20.75,3156708.0,
2012-05-02,20.79,20.93,19.87,20.03,1686178.0,
2012-05-03,19.92,19.99,18.93,19.43,1908038.0,
2012-05-04,19.29,19.29,18.62,19.05,1049400.0,
2012-05-07,18.68,19.62,18.67,19.49,1167726.0,
2012-05-08,19.34,19.63,18.34,19.51,1158885.0,
2012-05-09,19.28,19.28,18.41,18.75,931376.0,
2012-05-10,18.89,19.28,18.35,18.44,703920.0,
2012-05-11,18.14,18.93,17.89,18.3,1142781.0,
2012-05-14,18.24,18.79,18.05,18.43,865582.0,
2012-05-15,18.41,18.71,18.13,18.28,707924.0,
2012-05-16,18.37,18.6,17.73,17.79,851926.0,
2012-05-17,17.79,17.89,17.18,17.25,1011860.0,
2012-05-18,17.26,17.73,17.04,17.13,1072779.0,
2012-05-21,17.25,18.31,17.12,18.25,957352.0,
2012-05-22,18.41,19.17,18.35,18.93,1134648.0,
2012-05-23,18.72,20.35,18.37,19.93,2010656.0,
2012-05-24,19.97,20.76,19.47,20.27,2473406.0,
2012-05-25,20.29,20.67,20.11,20.42,1072408.0,
2012-05-28,nan,nan,nan,nan,nan,
2012-05-29,21.21,21.32,20.57,21.2,1764543.0,
2012-05-30,20.98,21.16,20.59,20.72,1775380.0,
2012-05-31,20.71,20.83,19.37,20.27,1771622.0,
2012-06-01,19.53,19.83,18.69,19.27,1326542.0,
2012-06-04,19.23,19.99,19.23,19.91,751342.0,
2012-06-05,19.83,20.67,19.77,20.63,1350072.0,
2012-06-06,20.67,21.81,20.64,21.81,1659440.0,
2012-06-07,22.22,22.22,20.6,20.78,1173741.0,
2012-06-08,20.75,21.25,20.07,20.79,839732.0,
2012-06-11,21.37,21.67,20.65,20.85,989848.0,
2012-06-12,21.33,21.66,21.0,21.27,1036634.0,
2012-06-13,20.64,20.8,19.06,19.71,2560020.0,
2012-06-14,18.53,19.27,18.33,19.19,6210706.0,
2012-06-15,19.19,20.13,19.05,19.74,2233560.0,
2012-06-18,20.12,20.57,19.7,20.37,2027535.0,
2012-06-19,20.6,21.29,20.57,20.93,1882126.0,
2012-06-20,21.03,21.23,20.43,21.2,1392274.0,
2012-06-21,21.29,21.33,20.17,20.37,1135702.0,
2012-06-22,20.45,21.16,20.17,21.11,1440177.0,
2012-06-25,21.22,21.47,20.53,21.17,897382.0,
2012-06-26,21.28,22.38,21.28,22.01,1846270.0,
2012-06-27,22.17,23.32,22.17,22.81,1770770.0,
2012-06-28,22.84,23.27,21.67,22.17,1292372.0,
2012-06-29,22.92,23.15,22.34,22.76,1136043.0,
2012-07-02,23.3,23.7,23.0,23.5,1774354.0,
2012-07-03,24.03,24.33,23.51,23.71,1351042.0,
2012-07-04,nan,nan,nan,nan,nan,
2012-07-05,24.21,24.67,23.9,24.11,1727672.0,
2012-07-06,24.13,24.28,23.57,23.93,967894.0,
2012-07-09,24.28,24.55,23.49,23.63,1367874.0,
2012-07-10,23.8,23.92,21.73,22.63,2412934.0,
2012-07-11,22.63,22.71,21.28,21.99,1538308.0,
2012-07-12,21.96,21.96,20.87,21.65,1520541.0,
2012-07-13,21.71,22.3,21.71,22.01,880038.0,
2012-07-16,22.24,23.67,22.13,22.83,2291408.0,
2012-07-17,23.15,23.5,22.09,22.8,1328757.0,
2012-07-18,22.72,24.16,22.72,23.85,1981694.0,
2012-07-19,23.32,23.98,23.06,23.27,1459842.0,
2012-07-20,23.12,23.47,22.67,23.28,1047462.0,
2012-07-23,22.77,23.2,21.8,22.89,1066178.0,
2012-07-24,22.93,23.49,22.73,23.03,1039462.0,
