DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-08-28,0.0,14.28,14.06,14.06,594200.0,
1997-08-29,0.0,14.19,13.97,14.0,624600.0,
1997-09-01,nan,nan,nan,nan,nan,
1997-09-02,0.0,14.09,14.0,14.0,440200.0,
1997-09-03,0.0,14.12,14.0,14.0,794800.0,
1997-09-04,0.0,14.16,14.0,14.03,582000.0,
1997-09-05,0.0,14.12,14.0,14.0,1319400.0,
1997-09-08,0.0,14.16,14.0,14.06,1841800.0,
1997-09-09,0.0,14.06,13.88,13.94,539800.0,
1997-09-10,0.0,14.0,13.81,14.0,515600.0,
1997-09-11,0.0,13.97,13.78,13.88,435600.0,
1997-09-12,0.0,13.97,13.75,13.88,568000.0,
1997-09-15,0.0,13.93,13.75,13.88,608200.0,
1997-09-16,0.0,13.91,13.72,13.75,1871400.0,
1997-09-17,0.0,13.78,13.66,13.72,388000.0,
1997-09-18,0.0,13.88,13.69,13.75,575600.0,
1997-09-19,0.0,13.84,13.59,13.69,1080600.0,
1997-09-22,0.0,13.88,13.66,13.81,504000.0,
1997-09-23,0.0,14.0,13.69,13.97,412400.0,
1997-09-24,0.0,14.09,13.78,13.78,376200.0,
1997-09-25,0.0,14.47,13.84,14.31,1197800.0,
1997-09-26,0.0,14.25,13.75,14.0,747600.0,
1997-09-29,0.0,14.16,13.84,14.06,1045400.0,
1997-09-30,0.0,14.59,14.19,14.41,977800.0,
1997-10-01,0.0,14.94,14.41,14.62,1106800.0,
1997-10-02,0.0,14.97,14.59,14.91,615800.0,
1997-10-03,0.0,14.97,14.53,14.78,573800.0,
1997-10-06,0.0,14.78,14.53,14.72,241400.0,
1997-10-07,0.0,14.72,14.44,14.62,453000.0,
1997-10-08,0.0,14.59,14.31,14.41,567800.0,
1997-10-09,0.0,14.44,14.19,14.19,469400.0,
1997-10-10,0.0,14.22,14.0,14.19,220000.0,
1997-10-13,0.0,14.28,14.03,14.22,562600.0,
1997-10-14,0.0,14.25,14.03,14.12,305600.0,
1997-10-15,0.0,14.09,13.91,14.06,313400.0,
1997-10-16,0.0,14.12,14.0,14.03,573600.0,
1997-10-17,0.0,14.03,13.78,14.0,472000.0,
1997-10-20,0.0,14.12,13.91,14.09,552400.0,
1997-10-21,0.0,14.12,13.84,14.12,301000.0,
1997-10-22,0.0,14.06,13.88,14.0,246000.0,
1997-10-23,0.0,14.06,13.75,13.94,297000.0,
1997-10-24,0.0,14.09,13.72,13.78,1076200.0,
1997-10-27,0.0,13.28,12.88,12.88,1414000.0,
1997-10-28,0.0,12.66,11.75,12.59,2467800.0,
1997-10-29,0.0,12.88,12.03,12.31,1735000.0,
1997-10-30,0.0,12.31,12.03,12.03,1327000.0,
1997-10-31,0.0,12.19,11.94,11.97,1068800.0,
1997-11-03,0.0,12.53,12.16,12.38,619000.0,
1997-11-04,0.0,12.5,12.28,12.41,639600.0,
1997-11-05,0.0,12.81,12.28,12.28,558200.0,
1997-11-06,0.0,12.31,12.16,12.25,561200.0,
1997-11-07,0.0,12.19,11.84,12.0,976800.0,
1997-11-10,0.0,11.97,11.81,11.88,595600.0,
1997-11-11,0.0,11.91,11.72,11.91,670600.0,
1997-11-12,0.0,11.91,11.62,11.69,654800.0,
1997-11-13,0.0,11.72,11.5,11.5,768400.0,
1997-11-14,0.0,11.66,11.34,11.41,682600.0,
1997-11-17,0.0,11.59,11.47,11.5,374200.0,
1997-11-18,0.0,11.44,11.22,11.25,438400.0,
1997-11-19,0.0,11.47,11.16,11.28,514000.0,
1997-11-20,0.0,11.34,11.16,11.28,1679800.0,
1997-11-21,0.0,11.31,11.19,11.25,564800.0,
1997-11-24,0.0,11.25,11.09,11.16,1027000.0,
1997-11-25,0.0,11.19,11.09,11.09,586600.0,
1997-11-26,0.0,11.12,10.56,10.56,1684400.0,
1997-11-27,nan,nan,nan,nan,nan,
1997-11-28,0.0,10.56,10.44,10.47,368000.0,
1997-12-01,0.0,10.5,10.06,10.19,471800.0,
1997-12-02,0.0,10.34,9.94,10.34,921600.0,
1997-12-03,0.0,10.28,10.0,10.09,274800.0,
1997-12-04,0.0,10.12,9.94,9.94,664400.0,
1997-12-05,0.0,10.12,9.88,10.0,499000.0,
1997-12-08,0.0,10.09,9.78,10.06,870800.0,
1997-12-09,0.0,10.0,9.62,9.81,658200.0,
1997-12-10,0.0,8.62,8.0,8.38,2666400.0,
1997-12-11,0.0,8.44,7.94,8.0,3362400.0,
1997-12-12,0.0,8.12,7.88,7.97,3680800.0,
1997-12-15,0.0,7.97,7.75,7.75,1936800.0,
1997-12-16,0.0,7.88,7.66,7.72,1119200.0,
1997-12-17,0.0,7.78,7.66,7.66,2317200.0,
1997-12-18,0.0,7.69,7.5,7.56,2267400.0,
1997-12-19,0.0,7.59,7.47,7.53,2097400.0,
1997-12-22,0.0,7.62,7.53,7.56,649400.0,
1997-12-23,0.0,7.75,7.56,7.56,788000.0,
