DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2003-01-02,nan,30.8,29.88,30.78,530100.0,
2003-01-03,nan,30.7,29.94,30.14,343700.0,
2003-01-06,nan,30.6,30.2,30.43,380500.0,
2003-01-07,nan,30.66,30.3,30.55,320500.0,
2003-01-08,nan,30.76,30.35,30.53,308700.0,
2003-01-09,nan,31.31,30.69,31.31,396800.0,
2003-01-10,nan,31.53,30.88,31.3,376500.0,
2003-01-13,nan,31.68,30.77,30.82,420300.0,
2003-01-14,nan,30.95,30.4,30.44,419100.0,
2003-01-15,nan,30.56,30.05,30.13,529500.0,
2003-01-16,nan,30.39,29.89,30.3,551000.0,
2003-01-17,nan,30.0,28.72,29.05,1107800.0,
2003-01-20,nan,nan,nan,nan,nan,
2003-01-21,nan,29.18,28.45,28.6,887900.0,
2003-01-22,nan,28.79,28.3,28.39,847700.0,
2003-01-23,nan,29.21,28.51,29.21,752600.0,
2003-01-24,nan,29.05,28.39,28.44,389500.0,
2003-01-27,nan,28.72,28.2,28.48,556300.0,
2003-01-28,nan,28.7,28.22,28.52,494100.0,
2003-01-29,nan,29.13,28.19,29.13,502800.0,
2003-01-30,nan,29.3,28.41,28.5,554200.0,
2003-01-31,nan,28.98,28.21,28.72,460300.0,
2003-02-03,nan,28.91,27.62,27.74,1023700.0,
2003-02-04,nan,27.4,26.5,26.84,1837400.0,
2003-02-05,nan,27.7,26.91,27.31,947700.0,
2003-02-06,nan,27.65,26.65,26.89,465400.0,
2003-02-07,nan,26.84,26.23,26.31,537500.0,
2003-02-10,nan,26.67,26.29,26.6,541000.0,
2003-02-11,nan,27.14,26.46,26.52,699900.0,
2003-02-12,nan,26.85,26.52,26.7,439500.0,
2003-02-13,nan,26.9,26.39,26.62,513900.0,
2003-02-14,nan,27.15,26.52,27.09,788100.0,
2003-02-17,nan,nan,nan,nan,nan,
2003-02-18,nan,27.85,27.3,27.77,765600.0,
2003-02-19,nan,27.79,27.28,27.56,425700.0,
2003-02-20,nan,27.89,27.25,27.49,431500.0,
2003-02-21,nan,28.1,27.45,27.93,562300.0,
2003-02-24,nan,27.96,27.52,27.7,811100.0,
2003-02-25,nan,27.88,27.25,27.85,346900.0,
2003-02-26,nan,27.86,27.38,27.49,324500.0,
2003-02-27,nan,28.0,27.42,27.94,355300.0,
2003-02-28,nan,28.3,27.86,28.2,311700.0,
2003-03-03,nan,28.75,28.21,28.34,560300.0,
2003-03-04,nan,28.26,27.63,27.7,799600.0,
2003-03-05,nan,28.09,27.59,28.09,797400.0,
2003-03-06,nan,28.26,27.7,28.08,853300.0,
2003-03-07,nan,28.78,27.97,28.72,616500.0,
2003-03-10,nan,28.63,28.02,28.07,500500.0,
2003-03-11,nan,28.6,27.93,28.35,704300.0,
2003-03-12,nan,28.5,27.93,28.1,335600.0,
2003-03-13,nan,29.25,28.22,29.19,506800.0,
2003-03-14,nan,29.28,28.79,29.27,420600.0,
2003-03-17,nan,30.19,28.73,30.19,840600.0,
2003-03-18,nan,30.34,29.65,29.98,505400.0,
2003-03-19,nan,30.26,29.79,30.26,548100.0,
2003-03-20,nan,30.7,29.95,30.7,554700.0,
2003-03-21,nan,31.65,30.62,31.57,810200.0,
2003-03-24,nan,31.07,30.37,30.44,793400.0,
2003-03-25,nan,30.99,30.4,30.9,662800.0,
2003-03-26,nan,30.96,30.52,30.6,463100.0,
2003-03-27,nan,31.17,30.46,31.04,574900.0,
2003-03-28,nan,31.18,30.88,31.11,555400.0,
2003-03-31,nan,31.38,29.87,30.92,553100.0,
2003-04-01,nan,31.1,30.67,31.04,683400.0,
2003-04-02,nan,31.75,31.35,31.61,533000.0,
2003-04-03,nan,31.61,31.13,31.33,550900.0,
2003-04-04,nan,31.55,30.85,31.08,694400.0,
2003-04-07,nan,31.82,31.0,31.0,581900.0,
2003-04-08,nan,31.15,30.58,30.77,445200.0,
2003-04-09,nan,31.11,30.57,30.61,677500.0,
2003-04-10,nan,31.12,30.62,31.11,359600.0,
2003-04-11,nan,31.46,30.97,31.12,429400.0,
2003-04-14,nan,31.46,30.77,31.39,538200.0,
2003-04-15,nan,31.81,31.25,31.7,544200.0,
2003-04-16,nan,31.79,31.17,31.2,316200.0,
2003-04-17,nan,31.98,31.29,31.92,523700.0,
2003-04-18,nan,nan,nan,nan,nan,
2003-04-21,nan,31.77,31.4,31.48,552800.0,
2003-04-22,nan,31.92,31.14,31.66,741500.0,
2003-04-23,nan,31.98,31.34,31.97,676200.0,
2003-04-24,nan,31.9,31.51,31.76,889600.0,
2003-04-25,nan,31.72,30.89,30.89,674600.0,
2003-04-28,nan,31.97,30.8,31.95,634600.0,
2003-04-29,nan,32.58,31.9,32.55,809700.0,
2003-04-30,nan,32.72,32.01,32.53,712200.0,
2003-05-01,nan,32.7,32.01,32.56,1042200.0,
2003-05-02,nan,33.15,32.57,33.01,937300.0,
2003-05-05,nan,33.2,32.55,32.61,670000.0,
2003-05-06,nan,34.29,32.63,34.22,1421100.0,
2003-05-07,nan,34.15,33.81,33.95,817500.0,
2003-05-08,nan,33.75,33.15,33.54,696200.0,
2003-05-09,nan,33.74,33.31,33.68,396200.0,
