DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2004-08-19,100.01,104.06,95.96,100.34,22353092.0,
2004-08-20,101.48,109.08,100.5,108.31,11429498.0,
2004-08-23,110.76,113.48,109.05,109.4,9140244.0,
2004-08-24,111.24,111.6,103.57,104.87,7632224.0,
2004-08-25,104.96,108.0,103.88,106.0,4599110.0,
2004-08-26,104.95,107.95,104.66,107.91,3551168.0,
2004-08-27,108.1,108.62,105.69,106.15,3108977.0,
2004-08-30,105.49,105.49,102.01,102.01,2601620.0,
2004-08-31,102.32,103.71,102.16,102.37,2463427.0,
2004-09-01,102.7,102.97,99.67,100.25,4574578.0,
2004-09-02,99.09,102.37,98.94,101.51,7567013.0,
2004-09-03,100.95,101.74,99.32,100.01,2578705.0,
2004-09-06,nan,nan,nan,nan,nan,
2004-09-07,101.01,102.0,99.61,101.58,2927073.0,
2004-09-08,100.74,103.03,100.5,102.3,2495226.0,
2004-09-09,102.5,102.71,101.0,102.31,2032853.0,
2004-09-10,101.6,106.56,101.3,105.33,4353885.0,
2004-09-13,106.63,108.41,106.46,107.5,3927322.0,
2004-09-14,107.44,112.0,106.79,111.49,5488357.0,
2004-09-15,110.56,114.23,110.2,112.0,5362452.0,
2004-09-16,112.34,115.8,111.65,113.97,4637786.0,
2004-09-17,114.42,117.49,113.55,117.49,4748627.0,
2004-09-20,116.95,121.6,116.77,119.36,5332562.0,
2004-09-21,120.2,120.42,117.51,117.84,3617903.0,
2004-09-22,117.45,119.67,116.81,118.38,3794393.0,
2004-09-23,118.84,122.63,117.02,120.82,4273082.0,
2004-09-24,120.97,124.1,119.76,119.83,4566707.0,
2004-09-27,119.56,120.88,117.8,118.26,3536818.0,
2004-09-28,121.15,127.4,120.21,126.86,8476027.0,
2004-09-29,126.53,135.02,126.23,131.08,15274991.0,
2004-09-30,129.9,132.3,129.0,129.6,6890125.0,
2004-10-01,130.8,134.24,128.9,132.58,7571329.0,
2004-10-04,135.82,136.87,134.03,135.06,6541875.0,
2004-10-05,134.66,138.53,132.24,138.37,7507251.0,
2004-10-06,137.67,138.45,136.0,137.08,6699883.0,
2004-10-07,136.56,139.88,136.55,138.85,7066873.0,
2004-10-08,138.73,139.68,137.02,137.73,5543874.0,
2004-10-11,137.01,138.86,133.85,135.26,5249263.0,
2004-10-12,134.49,137.61,133.4,137.4,5920143.0,
2004-10-13,143.32,143.55,140.08,140.9,9894833.0,
2004-10-14,141.02,142.38,138.56,142.0,5234304.0,
2004-10-15,144.95,145.5,141.95,144.11,6604448.0,
2004-10-18,143.2,149.2,141.21,149.16,7032780.0,
2004-10-19,150.5,152.4,147.35,147.94,9069401.0,
2004-10-20,147.94,148.99,139.6,140.49,11389627.0,
2004-10-21,144.13,150.13,141.62,149.38,14998000.0,
2004-10-22,170.44,180.17,164.08,172.43,36919841.0,
2004-10-25,176.28,194.43,172.55,187.4,32775277.0,
2004-10-26,186.45,192.64,180.0,181.8,22313860.0,
2004-10-27,182.29,189.52,181.77,185.97,13373482.0,
