DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-08-28,0.0,40.56,40.03,40.06,461200.0,
1997-08-29,0.0,40.62,39.88,39.88,341800.0,
1997-09-01,nan,nan,nan,nan,nan,
1997-09-02,0.0,41.12,39.84,41.0,606000.0,
1997-09-03,0.0,41.72,41.03,41.56,1095200.0,
1997-09-04,0.0,41.53,40.56,40.69,923800.0,
1997-09-05,0.0,41.47,40.66,41.12,498600.0,
1997-09-08,0.0,41.62,41.25,41.38,313600.0,
1997-09-09,0.0,41.91,41.38,41.56,1689200.0,
1997-09-10,0.0,41.66,41.22,41.28,323600.0,
1997-09-11,0.0,41.16,40.28,40.38,388200.0,
1997-09-12,0.0,40.97,40.53,40.88,293000.0,
1997-09-15,0.0,41.28,40.88,41.28,608200.0,
1997-09-16,0.0,42.19,41.31,42.19,1824000.0,
1997-09-17,0.0,43.38,42.41,43.0,1229200.0,
1997-09-18,0.0,43.31,43.0,43.09,1688000.0,
1997-09-19,0.0,43.47,43.0,43.38,875000.0,
1997-09-22,0.0,43.72,43.12,43.59,521600.0,
1997-09-23,0.0,43.62,43.31,43.31,588600.0,
1997-09-24,0.0,43.75,43.09,43.28,598000.0,
1997-09-25,0.0,43.19,42.84,43.12,616800.0,
1997-09-26,0.0,43.38,42.66,43.0,528400.0,
1997-09-29,0.0,43.0,42.62,42.81,294200.0,
1997-09-30,0.0,43.12,42.41,43.03,654600.0,
1997-10-01,0.0,43.78,43.03,43.59,476400.0,
1997-10-02,0.0,43.66,43.31,43.44,423200.0,
1997-10-03,0.0,45.0,44.03,44.47,717200.0,
1997-10-06,0.0,45.16,44.66,45.16,622200.0,
1997-10-07,0.0,44.0,43.0,43.0,2537400.0,
1997-10-08,0.0,43.62,43.09,43.22,1792800.0,
1997-10-09,0.0,43.22,42.53,42.62,883400.0,
1997-10-10,0.0,42.84,42.06,42.38,1068000.0,
1997-10-13,0.0,42.88,42.12,42.19,593400.0,
1997-10-14,0.0,42.69,41.41,42.0,961200.0,
1997-10-15,0.0,42.03,41.56,41.69,661800.0,
1997-10-16,0.0,42.5,41.31,41.59,828800.0,
1997-10-17,0.0,41.78,40.94,41.31,557200.0,
1997-10-20,0.0,41.75,41.28,41.62,342400.0,
1997-10-21,0.0,42.62,41.56,42.56,557200.0,
1997-10-22,0.0,42.81,42.38,42.53,376600.0,
1997-10-23,0.0,42.94,42.09,42.94,756800.0,
1997-10-24,0.0,42.91,41.81,42.53,466200.0,
1997-10-27,0.0,42.62,40.88,41.06,489800.0,
1997-10-28,0.0,42.16,39.44,42.16,885000.0,
1997-10-29,0.0,43.25,41.78,42.5,1088400.0,
1997-10-30,0.0,42.38,40.34,40.75,1182400.0,
1997-10-31,0.0,41.19,40.19,40.5,960800.0,
1997-11-03,0.0,41.12,40.53,40.88,674000.0,
1997-11-04,0.0,40.75,40.0,40.03,800600.0,
1997-11-05,0.0,40.19,39.28,39.72,1536400.0,
1997-11-06,0.0,40.5,39.47,40.44,767600.0,
1997-11-07,0.0,40.56,39.75,40.41,676400.0,
1997-11-10,0.0,41.06,40.47,40.62,771800.0,
1997-11-11,0.0,40.69,40.12,40.22,531400.0,
1997-11-12,0.0,40.25,39.88,40.0,629000.0,
1997-11-13,0.0,40.25,39.62,39.97,572200.0,
1997-11-14,0.0,40.62,39.94,40.41,243600.0,
1997-11-17,0.0,41.25,40.81,41.09,219600.0,
1997-11-18,0.0,41.75,41.16,41.47,717600.0,
1997-11-19,0.0,41.75,41.16,41.22,297600.0,
1997-11-20,0.0,42.94,41.38,42.53,795600.0,
1997-11-21,0.0,42.97,42.25,42.72,276400.0,
1997-11-24,0.0,42.59,42.12,42.25,370600.0,
1997-11-25,0.0,42.44,41.53,41.91,744400.0,
1997-11-26,0.0,42.19,41.81,41.94,642200.0,
1997-11-27,nan,nan,nan,nan,nan,
1997-11-28,0.0,42.06,41.88,41.88,105400.0,
1997-12-01,0.0,42.5,41.75,42.44,445600.0,
1997-12-02,0.0,43.03,42.34,42.97,924000.0,
1997-12-03,0.0,43.09,42.75,42.97,645400.0,
1997-12-04,0.0,44.16,43.25,43.78,630800.0,
1997-12-05,0.0,44.47,43.62,43.88,355200.0,
1997-12-08,0.0,44.25,43.75,44.25,350200.0,
1997-12-09,0.0,45.25,44.09,44.88,670000.0,
1997-12-10,0.0,45.22,44.5,45.19,566400.0,
1997-12-11,0.0,45.75,44.0,44.12,674200.0,
1997-12-12,0.0,44.47,43.56,43.59,452400.0,
1997-12-15,0.0,45.5,43.66,44.81,412000.0,
1997-12-16,0.0,44.97,44.06,44.84,537600.0,
1997-12-17,0.0,44.94,44.34,44.47,287000.0,
1997-12-18,0.0,45.09,44.16,44.75,369600.0,
1997-12-19,0.0,44.69,43.53,44.47,758800.0,
1997-12-22,0.0,44.88,44.0,44.25,407400.0,
1997-12-23,0.0,45.09,44.03,44.03,370600.0,
1997-12-24,0.0,44.25,43.78,44.0,240800.0,
1997-12-25,nan,nan,nan,nan,nan,
1997-12-26,0.0,44.22,43.53,43.75,111800.0,
1997-12-29,0.0,44.69,43.84,44.69,417400.0,
1997-12-30,0.0,46.34,44.69,46.25,346200.0,
1997-12-31,0.0,47.25,46.16,46.78,560600.0,
1998-01-01,nan,nan,nan,nan,nan,
1998-01-02,0.0,46.62,46.0,46.16,334600.0,
1998-01-05,0.0,47.28,46.12,46.22,607200.0,
1998-01-06,0.0,46.25,45.75,46.03,565200.0,
1998-01-07,0.0,46.03,45.53,45.84,342400.0,
1998-01-08,0.0,45.72,44.94,45.16,315200.0,
1998-01-09,0.0,45.31,44.75,44.75,1168800.0,
1998-01-12,0.0,45.19,44.34,45.19,529000.0,
1998-01-13,0.0,45.81,45.12,45.66,622400.0,
1998-01-14,0.0,45.97,45.47,45.84,392800.0,
1998-01-15,0.0,45.84,44.88,45.0,421000.0,
1998-01-16,0.0,46.06,45.12,45.62,618200.0,
1998-01-19,nan,nan,nan,nan,nan,
1998-01-20,0.0,47.0,45.5,46.81,486000.0,
1998-01-21,0.0,46.38,45.38,45.47,663000.0,
1998-01-22,0.0,45.84,45.16,45.62,948400.0,
1998-01-23,0.0,45.84,44.94,45.0,624000.0,
1998-01-26,0.0,45.5,44.78,45.0,315400.0,
1998-01-27,0.0,45.16,44.75,44.84,588800.0,
1998-01-28,0.0,45.09,44.56,45.0,1853600.0,
1998-01-29,0.0,45.72,44.94,45.31,1320200.0,
1998-01-30,0.0,45.06,44.72,45.0,696000.0,
1998-02-02,0.0,45.28,44.81,44.97,1531000.0,
1998-02-03,0.0,45.12,44.5,45.09,1519400.0,
1998-02-04,0.0,45.72,44.91,45.41,862200.0,
1998-02-05,0.0,45.66,44.69,45.03,507400.0,
1998-02-06,0.0,45.75,45.19,45.56,261000.0,
1998-02-09,0.0,46.56,45.81,46.5,605800.0,
1998-02-10,0.0,46.69,46.28,46.69,655000.0,
1998-02-11,0.0,46.84,46.19,46.25,431400.0,
1998-02-12,0.0,46.47,45.77,46.44,592200.0,
1998-02-13,0.0,47.12,46.19,46.91,611400.0,
1998-02-16,nan,nan,nan,nan,nan,
1998-02-17,0.0,47.16,46.09,46.19,525600.0,
1998-02-18,0.0,46.44,46.03,46.25,386400.0,
1998-02-19,0.0,46.38,46.0,46.31,670000.0,
1998-02-20,0.0,47.0,46.22,47.0,817600.0,
1998-02-23,0.0,47.62,46.81,47.59,1092600.0,
1998-02-24,0.0,48.22,47.19,47.81,864000.0,
1998-02-25,0.0,48.81,48.12,48.66,834800.0,
1998-02-26,0.0,48.78,48.31,48.66,576400.0,
1998-02-27,0.0,49.31,48.69,49.12,637000.0,
1998-03-02,0.0,49.5,49.0,49.34,751800.0,
1998-03-03,0.0,50.44,49.62,50.28,975400.0,
1998-03-04,0.0,50.28,49.62,49.69,971600.0,
1998-03-05,0.0,49.69,49.25,49.47,1062800.0,
1998-03-06,0.0,50.03,49.5,49.97,957000.0,
1998-03-09,0.0,51.53,49.97,51.53,1405600.0,
1998-03-10,0.0,51.72,51.34,51.5,1162200.0,
1998-03-11,0.0,51.75,51.12,51.66,304200.0,
1998-03-12,0.0,51.56,51.25,51.53,503200.0,
1998-03-13,0.0,51.75,51.31,51.44,622600.0,
1998-03-16,0.0,52.91,51.5,52.91,323600.0,
1998-03-17,0.0,52.84,52.16,52.75,545200.0,
1998-03-18,0.0,53.61,52.62,52.97,573600.0,
1998-03-19,0.0,53.0,52.66,52.75,442600.0,
1998-03-20,0.0,54.19,52.72,54.19,969000.0,
1998-03-23,0.0,54.19,53.03,53.03,279200.0,
1998-03-24,0.0,53.97,53.09,53.88,693400.0,
1998-03-25,0.0,55.31,54.25,54.56,663600.0,
1998-03-26,0.0,55.06,53.66,54.38,645400.0,
1998-03-27,0.0,54.47,53.69,53.94,451800.0,
1998-03-30,0.0,54.38,53.19,53.34,338600.0,
1998-03-31,0.0,54.5,53.47,54.25,427800.0,
1998-04-01,0.0,54.25,53.89,54.03,486600.0,
1998-04-02,0.0,55.62,53.91,55.16,701800.0,
1998-04-03,0.0,57.5,55.38,56.66,1263800.0,
1998-04-06,0.0,57.81,55.97,56.0,1010600.0,
1998-04-07,0.0,56.47,55.53,55.88,498000.0,
1998-04-08,0.0,55.78,54.31,54.94,634800.0,
1998-04-09,0.0,55.28,54.81,55.03,376800.0,
1998-04-10,nan,nan,nan,nan,nan,
1998-04-13,0.0,55.38,54.41,54.88,635800.0,
1998-04-14,0.0,56.5,54.88,56.38,766400.0,
1998-04-15,0.0,56.91,55.91,56.88,318800.0,
1998-04-16,0.0,56.88,55.56,55.59,298400.0,
1998-04-17,0.0,56.62,55.28,56.62,342600.0,
1998-04-20,0.0,56.69,55.06,55.75,447400.0,
1998-04-21,0.0,58.44,56.09,57.5,983600.0,
1998-04-22,0.0,57.25,56.62,56.75,403800.0,
1998-04-23,0.0,56.91,56.25,56.34,272800.0,
1998-04-24,0.0,56.28,54.94,54.94,249200.0,
1998-04-27,0.0,54.62,52.59,52.91,389600.0,
1998-04-28,0.0,54.0,52.91,53.94,733400.0,
1998-04-29,0.0,55.5,54.19,54.75,541400.0,
1998-04-30,0.0,56.38,55.09,55.38,822200.0,
1998-05-01,0.0,55.75,55.19,55.69,331400.0,
