DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-08-28,0.0,24.47,23.56,24.25,682200.0,
1997-08-29,0.0,24.38,23.88,24.38,513200.0,
1997-09-01,nan,nan,nan,nan,nan,
1997-09-02,0.0,25.0,24.28,25.0,1035200.0,
1997-09-03,0.0,24.97,24.31,24.38,485600.0,
1997-09-04,0.0,24.88,24.5,24.81,399000.0,
1997-09-05,0.0,25.12,24.72,24.72,385600.0,
1997-09-08,0.0,25.12,24.59,24.75,422600.0,
1997-09-09,0.0,25.0,24.59,24.78,256600.0,
1997-09-10,0.0,24.78,23.97,23.97,570000.0,
1997-09-11,0.0,24.09,23.5,23.59,1208600.0,
1997-09-12,0.0,23.81,23.62,23.72,1173800.0,
1997-09-15,0.0,24.12,23.69,23.94,643200.0,
1997-09-16,0.0,24.5,24.12,24.38,950600.0,
1997-09-17,0.0,24.38,23.81,24.0,771800.0,
1997-09-18,0.0,24.62,24.12,24.12,778600.0,
1997-09-19,0.0,24.47,24.09,24.47,794200.0,
1997-09-22,0.0,24.56,24.38,24.47,670800.0,
1997-09-23,0.0,24.56,24.16,24.25,534400.0,
1997-09-24,0.0,24.56,24.06,24.47,647200.0,
1997-09-25,0.0,24.69,24.22,24.31,413000.0,
1997-09-26,0.0,25.0,24.53,24.75,584000.0,
1997-09-29,0.0,25.69,24.5,25.59,504600.0,
1997-09-30,0.0,25.81,25.5,25.66,553600.0,
1997-10-01,0.0,25.59,25.09,25.5,498000.0,
1997-10-02,0.0,26.47,25.31,26.28,517400.0,
1997-10-03,0.0,26.41,25.62,26.06,590200.0,
1997-10-06,0.0,26.5,25.56,25.75,631200.0,
1997-10-07,0.0,25.81,25.47,25.59,569400.0,
1997-10-08,0.0,25.56,24.78,24.97,505400.0,
1997-10-09,0.0,24.97,24.25,24.81,926200.0,
1997-10-10,0.0,24.69,24.31,24.44,588000.0,
1997-10-13,0.0,24.88,24.5,24.88,372200.0,
1997-10-14,0.0,24.97,24.53,24.78,546000.0,
1997-10-15,0.0,24.62,24.25,24.31,390000.0,
1997-10-16,0.0,24.62,24.06,24.28,317000.0,
1997-10-17,0.0,24.12,23.56,23.81,405800.0,
1997-10-20,0.0,24.59,23.44,24.59,442000.0,
1997-10-21,0.0,24.81,24.28,24.81,378200.0,
1997-10-22,0.0,24.94,24.22,24.22,257800.0,
1997-10-23,0.0,24.22,23.94,24.19,581200.0,
1997-10-24,0.0,24.22,23.72,23.91,545200.0,
1997-10-27,0.0,23.88,22.62,22.62,314200.0,
1997-10-28,0.0,23.88,22.16,23.88,943600.0,
1997-10-29,0.0,23.88,23.41,23.88,911400.0,
1997-10-30,0.0,23.84,23.06,23.5,461000.0,
1997-10-31,0.0,23.75,23.0,23.75,454000.0,
1997-11-03,0.0,24.12,23.75,24.0,1678600.0,
1997-11-04,0.0,24.0,23.69,23.81,348800.0,
1997-11-05,0.0,24.19,23.81,23.81,531200.0,
1997-11-06,0.0,23.75,23.56,23.62,452800.0,
1997-11-07,0.0,23.66,23.06,23.12,678400.0,
1997-11-10,0.0,23.25,23.0,23.16,397200.0,
1997-11-11,0.0,23.56,22.97,23.12,546800.0,
1997-11-12,0.0,23.44,22.66,22.69,288400.0,
1997-11-13,0.0,23.03,22.59,22.88,389400.0,
1997-11-14,0.0,23.28,22.66,23.0,225600.0,
1997-11-17,0.0,23.59,23.12,23.53,405000.0,
1997-11-18,0.0,23.59,23.34,23.44,297000.0,
1997-11-19,0.0,23.94,23.38,23.59,303600.0,
1997-11-20,0.0,23.94,23.44,23.88,444800.0,
1997-11-21,0.0,24.06,23.66,23.97,318600.0,
1997-11-24,0.0,23.97,23.69,23.81,289600.0,
1997-11-25,0.0,24.12,23.75,23.81,342200.0,
1997-11-26,0.0,23.84,23.31,23.84,342800.0,
1997-11-27,nan,nan,nan,nan,nan,
1997-11-28,0.0,24.06,23.56,23.97,179400.0,
1997-12-01,0.0,24.19,23.75,23.97,439800.0,
1997-12-02,0.0,24.0,23.75,23.97,403000.0,
1997-12-03,0.0,24.0,23.56,23.91,694600.0,
1997-12-04,0.0,23.97,23.44,23.47,742800.0,
1997-12-05,0.0,23.62,23.31,23.38,909600.0,
1997-12-08,0.0,23.56,22.88,23.34,1019800.0,
1997-12-09,0.0,23.41,22.88,22.94,283800.0,
1997-12-10,0.0,23.38,22.88,23.12,304400.0,
1997-12-11,0.0,23.47,23.0,23.12,291000.0,
1997-12-12,0.0,23.5,23.0,23.06,348400.0,
1997-12-15,0.0,23.62,23.06,23.53,257600.0,
1997-12-16,0.0,23.75,23.5,23.69,679600.0,
1997-12-17,0.0,24.06,23.66,24.06,738600.0,
1997-12-18,0.0,24.38,23.59,23.69,482400.0,
1997-12-19,0.0,23.44,22.75,23.28,546800.0,
1997-12-22,0.0,23.81,23.16,23.53,637600.0,
1997-12-23,0.0,23.56,23.31,23.31,281600.0,
1997-12-24,0.0,23.41,23.0,23.41,293200.0,
1997-12-25,nan,nan,nan,nan,nan,
1997-12-26,0.0,23.59,23.19,23.38,52800.0,
1997-12-29,0.0,24.72,23.19,24.5,1126600.0,
1997-12-30,0.0,25.09,24.41,25.09,639600.0,
1997-12-31,0.0,25.12,24.69,24.91,369400.0,
1998-01-01,nan,nan,nan,nan,nan,
1998-01-02,0.0,25.31,24.62,24.94,346800.0,
1998-01-05,0.0,25.62,25.0,25.62,841600.0,
1998-01-06,0.0,25.47,25.03,25.19,489400.0,
1998-01-07,0.0,25.0,24.56,24.78,633000.0,
1998-01-08,0.0,25.47,24.88,25.25,663400.0,
1998-01-09,0.0,25.19,23.88,24.44,664600.0,
1998-01-12,0.0,24.78,24.09,24.38,961800.0,
1998-01-13,0.0,24.38,24.12,24.19,787200.0,
1998-01-14,0.0,24.25,23.97,24.22,798400.0,
1998-01-15,0.0,24.47,23.88,23.94,567000.0,
1998-01-16,0.0,24.62,24.09,24.31,684400.0,
1998-01-19,nan,nan,nan,nan,nan,
1998-01-20,0.0,24.81,24.44,24.5,627600.0,
1998-01-21,0.0,24.38,24.0,24.12,721200.0,
1998-01-22,0.0,24.28,23.97,24.25,380400.0,
1998-01-23,0.0,24.5,23.81,23.84,364400.0,
1998-01-26,0.0,24.31,23.81,24.16,398600.0,
1998-01-27,0.0,24.38,24.0,24.34,370400.0,
1998-01-28,0.0,24.31,24.0,24.16,520600.0,
1998-01-29,0.0,24.94,24.19,24.47,1163200.0,
1998-01-30,0.0,24.84,24.44,24.53,459200.0,
1998-02-02,0.0,25.0,24.5,24.81,1042200.0,
1998-02-03,0.0,25.06,24.75,25.0,812400.0,
1998-02-04,0.0,25.25,24.88,25.22,728800.0,
1998-02-05,0.0,25.56,25.06,25.06,623600.0,
1998-02-06,0.0,25.62,24.91,25.5,576400.0,
1998-02-09,0.0,25.5,25.0,25.41,419800.0,
1998-02-10,0.0,25.91,25.41,25.72,544600.0,
1998-02-11,0.0,26.0,25.56,25.91,440600.0,
1998-02-12,0.0,26.38,25.69,26.31,638000.0,
1998-02-13,0.0,26.47,26.19,26.25,553000.0,
1998-02-16,nan,nan,nan,nan,nan,
1998-02-17,0.0,26.53,26.12,26.28,497800.0,
1998-02-18,0.0,26.38,26.0,26.28,481000.0,
1998-02-19,0.0,26.34,25.94,26.22,641800.0,
1998-02-20,0.0,26.25,25.78,26.09,542800.0,
1998-02-23,0.0,27.0,26.0,26.78,505400.0,
1998-02-24,0.0,27.06,26.5,27.03,690400.0,
1998-02-25,0.0,27.91,26.91,27.53,679000.0,
1998-02-26,0.0,27.62,27.22,27.53,448200.0,
1998-02-27,0.0,27.56,27.19,27.25,496600.0,
1998-03-02,0.0,27.47,27.12,27.22,333400.0,
1998-03-03,0.0,27.66,27.06,27.5,305200.0,
1998-03-04,0.0,27.5,27.31,27.41,338000.0,
1998-03-05,0.0,27.94,27.31,27.94,603800.0,
1998-03-06,0.0,29.88,27.94,29.25,783800.0,
1998-03-09,0.0,29.25,28.53,28.88,518400.0,
1998-03-10,0.0,29.78,28.88,29.59,437400.0,
1998-03-11,0.0,30.09,29.5,30.0,452800.0,
1998-03-12,0.0,30.56,30.12,30.31,490400.0,
1998-03-13,0.0,30.69,30.06,30.56,518400.0,
1998-03-16,0.0,31.03,30.34,30.81,466200.0,
1998-03-17,0.0,30.94,30.44,30.75,279600.0,
1998-03-18,0.0,30.88,30.25,30.56,453000.0,
1998-03-19,0.0,30.62,30.38,30.53,287000.0,
1998-03-20,0.0,30.72,30.34,30.62,792000.0,
1998-03-23,0.0,30.66,30.44,30.53,585000.0,
1998-03-24,0.0,30.94,30.22,30.78,618800.0,
1998-03-25,0.0,30.94,30.44,30.56,336400.0,
1998-03-26,0.0,31.47,30.38,31.31,417800.0,
1998-03-27,0.0,31.0,30.62,30.72,518000.0,
1998-03-30,0.0,30.97,30.62,30.75,159200.0,
1998-03-31,0.0,31.19,30.81,31.06,416000.0,
1998-04-01,0.0,31.47,30.47,31.44,515400.0,
1998-04-02,0.0,32.44,31.47,32.25,558400.0,
1998-04-03,0.0,32.28,31.69,31.84,773400.0,
1998-04-06,0.0,32.19,31.31,32.09,498000.0,
1998-04-07,0.0,31.75,31.19,31.25,714800.0,
1998-04-08,0.0,31.62,30.69,30.91,389600.0,
1998-04-09,0.0,31.22,30.5,30.66,432800.0,
1998-04-10,nan,nan,nan,nan,nan,
1998-04-13,0.0,30.72,30.0,30.19,496600.0,
1998-04-14,0.0,30.69,30.0,30.16,436400.0,
1998-04-15,0.0,30.78,30.12,30.56,544400.0,
1998-04-16,0.0,30.5,29.94,30.12,433600.0,
1998-04-17,0.0,30.81,29.94,30.72,606000.0,
1998-04-20,0.0,31.25,30.53,31.09,353200.0,
1998-04-21,0.0,31.22,30.78,31.03,464000.0,
1998-04-22,0.0,31.12,30.75,30.81,321400.0,
1998-04-23,0.0,30.78,30.38,30.5,291400.0,
1998-04-24,0.0,30.56,29.94,30.53,593400.0,
1998-04-27,0.0,30.44,29.38,29.59,652600.0,
1998-04-28,0.0,30.25,29.53,30.19,334400.0,
1998-04-29,0.0,30.88,29.84,30.81,546000.0,
1998-04-30,0.0,32.06,30.69,31.94,661800.0,
1998-05-01,0.0,31.97,30.78,31.5,414200.0,
1998-05-04,0.0,31.78,30.53,30.72,456000.0,
1998-05-05,0.0,30.81,30.38,30.5,734000.0,
1998-05-06,0.0,30.5,30.03,30.09,507000.0,
1998-05-07,0.0,30.25,29.78,30.16,652000.0,
1998-05-08,0.0,30.5,30.19,30.44,361200.0,
1998-05-11,0.0,30.94,30.12,30.5,288000.0,
1998-05-12,0.0,30.62,30.0,30.44,469200.0,
1998-05-13,0.0,30.5,30.09,30.16,274800.0,
1998-05-14,0.0,30.62,30.0,30.34,331800.0,
1998-05-15,0.0,30.34,29.84,29.97,483600.0,
1998-05-18,0.0,30.38,29.91,29.97,308400.0,
1998-05-19,0.0,30.12,29.81,29.97,440000.0,
1998-05-20,0.0,30.25,29.88,30.25,276600.0,
1998-05-21,0.0,30.56,30.25,30.38,407600.0,
1998-05-22,0.0,30.38,30.06,30.22,271200.0,
1998-05-25,nan,nan,nan,nan,nan,
1998-05-26,0.0,30.31,29.25,29.28,265200.0,
1998-05-27,0.0,29.69,28.91,29.25,616000.0,
1998-05-28,0.0,29.69,29.0,29.12,292000.0,
1998-05-29,0.0,29.81,29.03,29.66,623800.0,
1998-06-01,0.0,29.91,29.44,29.75,425200.0,
1998-06-02,0.0,29.94,29.47,29.5,331000.0,
