DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2010-10-14,26.97,27.65,24.45,27.02,9197317.0,
2010-10-15,27.1,27.1,26.5,26.5,3207585.0,
2010-10-18,26.6,27.04,26.41,26.75,4077275.0,
2010-10-19,26.99,26.99,26.44,26.52,7782946.0,
2010-10-20,26.7,27.2,26.65,27.13,6082648.0,
2010-10-21,27.19,28.0,27.1,27.56,6530807.0,
2010-10-22,27.6,27.68,27.3,27.55,2442021.0,
2010-10-25,27.84,28.27,27.72,27.96,3935291.0,
2010-10-26,28.07,28.12,26.5,27.72,5532527.0,
2010-10-27,27.83,27.83,26.85,27.21,3619198.0,
2010-10-28,27.38,27.79,26.99,27.51,3821543.0,
2010-10-29,27.85,28.25,26.6,26.86,7190607.0,
2010-11-01,26.76,27.16,25.7,26.0,4164976.0,
2010-11-02,26.3,26.79,26.18,26.63,3387806.0,
2010-11-03,26.91,27.47,26.35,26.95,3338694.0,
2010-11-04,27.25,27.56,26.99,27.41,5118309.0,
2010-11-05,27.45,28.53,26.76,28.35,7668994.0,
2010-11-08,28.5,28.85,28.24,28.85,4110677.0,
2010-11-09,29.02,29.1,28.17,28.44,2267249.0,
2010-11-10,28.4,28.5,27.74,28.34,2717001.0,
2010-11-11,28.12,28.8,28.02,28.29,2478553.0,
2010-11-12,28.32,28.37,27.33,27.4,4365195.0,
2010-11-15,27.25,27.99,27.2,27.66,4142475.0,
2010-11-16,27.57,27.65,26.25,26.7,2919305.0,
2010-11-17,26.74,27.31,26.34,27.23,3193763.0,
2010-11-18,28.06,28.23,27.54,27.69,3376520.0,
2010-11-19,27.77,28.88,27.5,28.75,17483322.0,
2010-11-22,28.63,29.82,28.55,29.68,6153764.0,
2010-11-23,29.25,29.25,28.81,28.95,4385236.0,
2010-11-24,29.1,29.54,28.86,29.5,3341008.0,
2010-11-25,nan,nan,nan,nan,nan,
2010-11-26,29.2,29.55,29.15,29.38,740549.0,
2010-11-29,29.9,29.97,28.86,29.75,3414823.0,
2010-11-30,29.23,29.5,29.06,29.21,2831262.0,
2010-12-01,29.69,30.04,29.63,29.88,7132472.0,
2010-12-02,30.21,30.5,29.41,30.49,7641030.0,
2010-12-03,30.04,30.71,29.53,30.52,5584283.0,
2010-12-06,30.62,31.12,30.5,31.08,4628399.0,
2010-12-07,31.5,31.75,30.93,31.6,6297614.0,
2010-12-08,31.6,31.85,30.73,30.86,3558094.0,
2010-12-09,31.23,31.34,29.6,30.61,4306114.0,
2010-12-10,30.56,31.17,30.46,31.1,3383700.0,
2010-12-13,31.08,31.97,31.03,31.86,38066323.0,
2010-12-14,31.61,32.46,31.07,31.99,3875059.0,
2010-12-15,31.99,32.19,31.52,31.75,1458658.0,
2010-12-16,32.01,32.07,30.91,31.2,2498444.0,
2010-12-17,31.14,32.0,30.72,31.87,3979961.0,
2010-12-20,31.91,32.12,31.62,32.1,2500861.0,
2010-12-21,32.0,32.57,32.0,32.55,3301152.0,
2010-12-22,32.34,32.98,32.34,32.95,3212737.0,
2010-12-23,32.95,33.0,32.79,32.93,724418.0,
2010-12-24,nan,nan,nan,nan,nan,
2010-12-27,32.67,33.03,32.65,32.96,679526.0,
2010-12-28,32.94,33.3,32.83,33.28,1111595.0,
2010-12-29,33.21,33.45,33.18,33.4,1290324.0,
2010-12-30,33.43,33.82,33.26,33.76,1605572.0,
2010-12-31,33.85,34.54,33.83,34.4,1877808.0,
2011-01-03,34.75,34.99,34.43,34.56,3403306.0,
2011-01-04,34.8,34.95,34.54,34.87,5475610.0,
2011-01-05,34.68,35.0,34.63,34.85,2780792.0,
2011-01-06,34.93,35.11,34.72,34.97,3249311.0,
2011-01-07,35.18,35.23,34.45,34.62,1889622.0,
2011-01-10,34.92,35.3,34.6,35.24,4051508.0,
2011-01-11,35.6,36.58,35.51,36.47,4729444.0,
2011-01-12,36.66,37.0,36.51,36.74,2867860.0,
2011-01-13,36.84,36.84,35.85,36.4,4404449.0,
2011-01-14,36.28,37.0,36.04,36.61,3841007.0,
2011-01-17,nan,nan,nan,nan,nan,
2011-01-18,36.95,37.0,36.46,36.5,2166546.0,
2011-01-19,36.67,36.7,35.53,35.66,3682438.0,
2011-01-20,35.26,35.77,33.57,35.42,7837798.0,
2011-01-21,35.88,36.22,34.4,35.05,3647559.0,
2011-01-24,35.6,35.74,34.75,35.65,2489637.0,
2011-01-25,35.7,36.15,35.52,35.7,6351441.0,
2011-01-26,35.78,36.25,35.54,36.0,2325666.0,
2011-01-27,36.06,36.51,35.82,36.2,2718782.0,
2011-01-28,36.3,36.48,34.62,34.86,1961216.0,
2011-01-31,34.77,36.04,34.77,35.94,2250306.0,
2011-02-01,36.19,37.0,35.97,36.84,2823401.0,
2011-02-02,36.51,36.88,36.17,36.55,1646430.0,
2011-02-03,36.83,37.44,36.0,36.12,3667157.0,
2011-02-04,36.44,36.76,35.34,36.17,4086987.0,
2011-02-07,36.49,36.77,35.29,35.52,4454843.0,
2011-02-08,35.77,35.85,34.36,35.48,5053713.0,
2011-02-09,35.24,35.95,34.59,35.84,5237529.0,
2011-02-10,35.33,36.83,35.33,36.75,2841450.0,
2011-02-11,36.17,38.89,35.76,37.07,4639489.0,
2011-02-14,37.42,37.44,36.81,37.4,2764254.0,
2011-02-15,37.39,37.67,36.56,37.48,2470470.0,
2011-02-16,37.47,37.8,37.09,37.54,2955581.0,
2011-02-17,37.59,38.6,37.26,38.59,6306778.0,
2011-02-18,36.9,38.12,35.34,37.95,15391908.0,
2011-02-21,nan,nan,nan,nan,nan,
2011-02-22,36.53,38.75,35.74,35.84,6342577.0,
2011-02-23,35.55,37.0,34.88,36.64,6189011.0,
2011-02-24,36.66,37.39,36.26,36.7,4456351.0,
2011-02-25,37.52,38.54,37.5,38.17,4899583.0,
2011-02-28,38.88,40.0,37.71,38.08,12466807.0,
2011-03-01,38.37,38.85,36.76,37.06,3520068.0,
2011-03-02,37.2,38.58,36.84,38.07,3930432.0,
2011-03-03,38.65,39.85,38.65,39.56,5558392.0,
2011-03-04,40.2,40.3,39.34,39.64,4308591.0,
2011-03-07,40.19,40.3,39.46,39.83,4343562.0,
2011-03-08,39.72,41.08,39.36,40.73,3269242.0,
2011-03-09,40.92,41.12,40.31,40.9,2698485.0,
2011-03-10,40.38,41.0,38.53,39.69,7360338.0,
2011-03-11,39.05,39.66,38.2,39.16,3966418.0,
2011-03-14,39.08,40.41,38.75,39.19,1751082.0,
2011-03-15,37.45,38.64,37.33,38.28,3694860.0,
2011-03-16,38.12,39.41,37.99,38.09,3071726.0,
2011-03-17,38.83,39.31,38.77,38.99,1526210.0,
2011-03-18,39.52,39.58,38.21,38.4,2805670.0,
2011-03-21,39.35,40.0,38.8,39.67,2810665.0,
2011-03-22,39.63,39.69,38.69,39.05,1433597.0,
2011-03-23,38.83,39.97,38.51,39.87,1289226.0,
2011-03-24,40.0,40.6,39.75,40.39,1852471.0,
2011-03-25,40.4,40.87,39.92,40.36,1493827.0,
2011-03-28,40.5,40.82,39.42,40.21,3532705.0,
2011-03-29,39.94,40.74,39.9,40.14,2103732.0,
2011-03-30,40.39,40.39,39.49,39.68,2951965.0,
2011-03-31,39.66,40.13,39.28,39.55,3555867.0,
2011-04-01,39.99,40.28,39.56,40.27,4105706.0,
2011-04-04,40.5,41.0,40.36,40.65,1992829.0,
2011-04-05,40.47,41.51,40.29,41.34,2557939.0,
2011-04-06,41.4,42.05,41.27,41.61,2956044.0,
2011-04-07,41.63,41.75,40.72,41.5,3235979.0,
2011-04-08,41.58,43.28,41.5,42.58,4861861.0,
2011-04-11,42.6,43.2,41.81,42.49,2362700.0,
2011-04-12,42.03,42.28,40.36,40.53,4195464.0,
2011-04-13,40.74,40.88,40.09,40.63,2475110.0,
2011-04-14,40.4,40.63,39.63,40.42,1606566.0,
2011-04-15,40.42,41.18,39.99,41.01,2073375.0,
2011-04-18,40.68,41.12,39.8,40.06,2266837.0,
2011-04-19,40.05,41.07,39.85,40.78,3088113.0,
2011-04-20,41.46,42.0,41.36,42.0,2382587.0,
2011-04-21,42.05,42.8,41.93,42.73,2375068.0,
2011-04-22,nan,nan,nan,nan,nan,
2011-04-25,42.81,43.74,42.42,43.26,2144631.0,
2011-04-26,43.53,44.0,42.98,43.79,2781047.0,
2011-04-27,43.99,44.41,43.4,43.7,3106099.0,
2011-04-28,43.78,44.54,43.62,44.44,3637888.0,
2011-04-29,44.66,45.36,44.27,44.5,3716027.0,
2011-05-02,48.09,48.12,44.63,45.62,6360005.0,
2011-05-03,45.7,46.28,44.46,44.57,4249106.0,
2011-05-04,44.41,44.53,42.0,42.83,4965645.0,
2011-05-05,42.74,43.39,41.29,41.65,5150912.0,
2011-05-06,41.74,42.79,40.88,41.08,7248591.0,
2011-05-09,41.08,42.29,41.03,41.5,4505621.0,
2011-05-10,42.03,42.5,41.75,42.24,4993873.0,
2011-05-11,42.5,43.31,41.46,42.22,6643784.0,
2011-05-12,42.0,42.33,41.17,41.33,4061693.0,
2011-05-13,41.63,41.75,39.36,39.68,4637142.0,
2011-05-16,38.32,39.25,37.73,38.1,10085160.0,
2011-05-17,38.1,39.22,38.07,38.95,8988994.0,
2011-05-18,39.11,41.06,38.94,41.0,7016765.0,
2011-05-19,41.25,41.57,40.49,41.0,3131422.0,
2011-05-20,40.7,40.83,39.67,40.0,4038802.0,
2011-05-23,38.91,39.35,38.16,38.9,4454034.0,
2011-05-24,39.43,40.0,39.25,39.75,4469528.0,
2011-05-25,39.5,42.08,39.5,41.59,4805358.0,
2011-05-26,41.63,42.2,40.78,41.76,4563281.0,
2011-05-27,42.12,42.74,41.82,42.74,2684447.0,
2011-05-30,nan,nan,nan,nan,nan,
2011-05-31,43.47,43.82,42.84,43.81,8701937.0,
2011-06-01,43.67,44.21,42.11,42.28,4180050.0,
2011-06-02,42.66,42.98,41.06,41.7,3664236.0,
2011-06-03,40.5,40.71,39.21,39.89,6642357.0,
2011-06-06,40.05,40.08,38.12,38.24,5518256.0,
2011-06-07,39.43,39.49,38.43,38.88,4368762.0,
2011-06-08,38.5,39.5,38.24,39.22,4387444.0,
2011-06-09,39.55,40.18,39.22,40.0,3302714.0,
2011-06-10,39.55,39.94,38.78,39.3,3219103.0,
2011-06-13,39.4,39.76,38.11,38.3,3357426.0,
2011-06-14,39.14,40.25,39.06,39.88,4450950.0,
2011-06-15,39.28,39.59,38.08,38.36,4910622.0,
2011-06-16,38.46,38.62,36.16,37.01,8191071.0,
2011-06-17,37.55,37.71,36.27,36.88,6584925.0,
2011-06-20,36.46,36.87,35.88,36.56,5519108.0,
2011-06-21,37.09,38.76,36.97,38.61,5851914.0,
2011-06-22,38.64,39.51,38.29,38.7,4576019.0,
2011-06-23,37.87,38.1,36.64,38.06,4695835.0,
2011-06-24,38.24,38.83,37.52,37.58,19002432.0,
2011-06-27,37.65,37.83,35.84,37.26,7024557.0,
2011-06-28,37.7,37.7,36.47,37.48,5326231.0,
2011-06-29,37.74,39.29,37.68,38.29,4354364.0,
2011-06-30,38.3,39.05,37.86,38.52,3257391.0,
2011-07-01,39.41,39.59,38.43,38.92,4650153.0,
2011-07-04,nan,nan,nan,nan,nan,
2011-07-05,39.01,40.11,38.75,39.89,3880033.0,
2011-07-06,39.63,39.75,38.8,39.45,4517427.0,
2011-07-07,39.95,41.35,39.95,41.23,5828823.0,
2011-07-08,40.51,40.92,39.96,40.88,3541908.0,
2011-07-11,39.99,40.0,37.9,38.48,4543681.0,
2011-07-12,38.32,38.95,37.99,38.4,2300612.0,
2011-07-13,38.86,39.1,38.15,38.47,2697027.0,
2011-07-14,38.5,38.97,37.81,37.92,2439755.0,
2011-07-15,38.2,38.31,37.67,38.09,2566179.0,
2011-07-18,37.85,38.14,36.2,36.84,3953559.0,
