DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-08-28,0.0,9.38,9.19,9.36,1196400.0,
1997-08-29,0.0,10.06,9.44,10.06,2141600.0,
1997-09-01,nan,nan,nan,nan,nan,
1997-09-02,0.0,10.12,9.86,9.95,1895600.0,
1997-09-03,0.0,9.91,9.72,9.78,410400.0,
1997-09-04,0.0,9.77,9.64,9.66,532000.0,
1997-09-05,0.0,9.86,9.62,9.78,597600.0,
1997-09-08,0.0,10.08,9.81,10.03,742800.0,
1997-09-09,0.0,10.06,9.94,10.02,426000.0,
1997-09-10,0.0,10.09,9.95,10.09,576800.0,
1997-09-11,0.0,10.19,9.95,10.06,596000.0,
1997-09-12,0.0,10.31,10.06,10.16,332000.0,
1997-09-15,0.0,10.17,10.06,10.09,136800.0,
1997-09-16,0.0,10.16,9.97,10.16,355200.0,
1997-09-17,0.0,10.25,10.11,10.16,415200.0,
1997-09-18,0.0,10.23,10.09,10.23,320800.0,
1997-09-19,0.0,10.33,10.16,10.28,736800.0,
1997-09-22,0.0,10.67,10.34,10.58,628800.0,
1997-09-23,0.0,10.69,10.52,10.66,821600.0,
1997-09-24,0.0,11.0,10.64,10.94,737200.0,
1997-09-25,0.0,11.0,10.44,10.81,951600.0,
1997-09-26,0.0,10.84,10.22,10.5,855600.0,
1997-09-29,0.0,10.56,10.31,10.56,368800.0,
1997-09-30,0.0,10.88,10.58,10.86,552000.0,
1997-10-01,0.0,10.98,10.81,10.98,324800.0,
1997-10-02,0.0,10.98,10.86,10.92,246800.0,
1997-10-03,0.0,10.91,10.56,10.61,532000.0,
1997-10-06,0.0,10.62,10.53,10.61,496000.0,
1997-10-07,0.0,10.64,10.55,10.64,501600.0,
1997-10-08,0.0,10.61,10.39,10.5,216800.0,
1997-10-09,0.0,10.55,10.44,10.48,433600.0,
1997-10-10,0.0,10.48,10.36,10.41,1194400.0,
1997-10-13,0.0,10.44,10.33,10.34,106800.0,
1997-10-14,0.0,10.34,10.17,10.23,203200.0,
1997-10-15,0.0,10.22,10.16,10.17,274800.0,
1997-10-16,0.0,10.25,10.17,10.2,300000.0,
1997-10-17,0.0,10.19,9.91,9.98,306800.0,
1997-10-20,0.0,10.14,9.97,10.14,407600.0,
1997-10-21,0.0,10.47,10.12,10.47,189200.0,
1997-10-22,0.0,10.84,10.44,10.83,1090800.0,
1997-10-23,0.0,10.55,10.25,10.38,1052400.0,
1997-10-24,0.0,11.72,10.75,11.2,8398000.0,
1997-10-27,0.0,11.5,10.34,10.38,2080000.0,
1997-10-28,0.0,10.25,9.56,10.25,2876800.0,
1997-10-29,0.0,10.41,10.22,10.28,1545200.0,
1997-10-30,0.0,10.25,10.09,10.11,955600.0,
1997-10-31,0.0,11.0,10.22,11.0,2191200.0,
1997-11-03,0.0,10.69,10.31,10.62,1748400.0,
1997-11-04,0.0,10.62,10.47,10.52,1004400.0,
1997-11-05,0.0,10.69,10.53,10.69,853600.0,
1997-11-06,0.0,10.81,10.53,10.75,1424800.0,
1997-11-07,0.0,10.62,10.25,10.25,518800.0,
1997-11-10,0.0,10.3,10.02,10.02,641200.0,
1997-11-11,0.0,10.09,9.95,10.02,746800.0,
1997-11-12,0.0,10.31,9.75,9.91,1718000.0,
1997-11-13,0.0,9.92,9.75,9.81,353600.0,
1997-11-14,0.0,9.94,9.8,9.94,712400.0,
1997-11-17,0.0,10.34,9.91,10.3,1209200.0,
1997-11-18,0.0,10.36,10.19,10.27,390400.0,
1997-11-19,0.0,10.44,10.24,10.44,1442400.0,
1997-11-20,0.0,10.56,10.44,10.56,1620800.0,
1997-11-21,0.0,10.62,10.31,10.34,1160400.0,
1997-11-24,0.0,10.3,10.12,10.12,459200.0,
1997-11-25,0.0,10.06,9.83,9.88,1006000.0,
1997-11-26,0.0,9.91,9.77,9.77,179600.0,
1997-11-27,nan,nan,nan,nan,nan,
1997-11-28,0.0,9.8,9.73,9.78,149200.0,
1997-12-01,0.0,9.84,9.78,9.83,287600.0,
1997-12-02,0.0,9.86,9.72,9.72,217600.0,
1997-12-03,0.0,9.73,9.55,9.56,690400.0,
1997-12-04,0.0,9.55,9.05,9.23,1702800.0,
1997-12-05,0.0,9.31,9.17,9.28,1191200.0,
1997-12-08,0.0,9.23,9.11,9.11,852000.0,
1997-12-09,0.0,9.23,8.92,9.0,1667200.0,
1997-12-10,0.0,9.0,8.92,8.95,589600.0,
1997-12-11,0.0,8.97,8.67,8.8,830800.0,
1997-12-12,0.0,8.77,8.59,8.62,708000.0,
1997-12-15,0.0,8.73,8.62,8.72,803600.0,
1997-12-16,0.0,9.06,8.75,8.77,650400.0,
1997-12-17,0.0,8.88,8.77,8.86,521600.0,
1997-12-18,0.0,8.89,8.58,8.67,1262800.0,
1997-12-19,0.0,8.84,8.5,8.78,1192000.0,
1997-12-22,0.0,8.84,8.66,8.7,1866000.0,
1997-12-23,0.0,8.8,8.7,8.75,625200.0,
1997-12-24,0.0,8.78,8.75,8.77,367200.0,
1997-12-25,nan,nan,nan,nan,nan,
1997-12-26,0.0,8.81,8.75,8.75,140400.0,
1997-12-29,0.0,8.84,8.75,8.81,645200.0,
1997-12-30,0.0,8.91,8.78,8.89,454000.0,
1997-12-31,0.0,9.12,8.89,9.03,888400.0,
1998-01-01,nan,nan,nan,nan,nan,
1998-01-02,0.0,9.16,8.92,8.98,1071200.0,
1998-01-05,0.0,9.19,8.72,8.77,1030400.0,
1998-01-06,0.0,8.78,8.62,8.64,524400.0,
1998-01-07,0.0,8.75,8.64,8.75,1298000.0,
1998-01-08,0.0,8.72,8.53,8.62,1513200.0,
1998-01-09,0.0,8.64,8.47,8.5,633200.0,
1998-01-12,0.0,8.44,8.28,8.41,573200.0,
1998-01-13,0.0,8.5,8.38,8.47,386000.0,
1998-01-14,0.0,8.77,8.44,8.73,313600.0,
1998-01-15,0.0,9.19,8.75,9.06,1261600.0,
1998-01-16,0.0,9.61,9.06,9.47,2020400.0,
1998-01-19,nan,nan,nan,nan,nan,
1998-01-20,0.0,9.47,9.2,9.25,972400.0,
1998-01-21,0.0,9.27,9.16,9.2,501600.0,
1998-01-22,0.0,9.33,9.14,9.28,531600.0,
1998-01-23,0.0,9.19,8.88,8.88,428400.0,
1998-01-26,0.0,8.88,8.66,8.67,712400.0,
1998-01-27,0.0,8.75,8.64,8.69,562400.0,
1998-01-28,0.0,8.81,8.58,8.58,348800.0,
1998-01-29,0.0,9.06,8.59,8.97,1009200.0,
1998-01-30,0.0,8.97,8.78,8.95,684800.0,
1998-02-02,0.0,9.16,8.72,9.05,1093600.0,
1998-02-03,0.0,9.08,9.0,9.08,138400.0,
1998-02-04,0.0,9.12,8.88,8.91,688000.0,
1998-02-05,0.0,9.34,8.97,9.34,1740400.0,
1998-02-06,0.0,9.84,9.41,9.72,1330800.0,
1998-02-09,0.0,9.97,9.77,9.8,1612000.0,
1998-02-10,0.0,9.77,9.67,9.69,230400.0,
1998-02-11,0.0,9.73,9.47,9.53,586800.0,
1998-02-12,0.0,9.53,9.34,9.53,1454400.0,
1998-02-13,0.0,9.59,9.5,9.53,260400.0,
1998-02-16,nan,nan,nan,nan,nan,
1998-02-17,0.0,9.36,9.27,9.3,472000.0,
1998-02-18,0.0,9.34,9.25,9.34,189200.0,
1998-02-19,0.0,9.34,9.09,9.19,1064400.0,
1998-02-20,0.0,9.48,9.19,9.38,376000.0,
1998-02-23,0.0,9.53,9.38,9.53,371200.0,
1998-02-24,0.0,9.47,8.94,9.19,826400.0,
1998-02-25,0.0,9.34,9.05,9.25,989200.0,
1998-02-26,0.0,9.5,9.28,9.3,924400.0,
1998-02-27,0.0,9.03,8.72,9.03,2708800.0,
1998-03-02,0.0,9.02,8.91,8.92,1156800.0,
1998-03-03,0.0,9.05,8.86,9.0,620000.0,
1998-03-04,0.0,9.02,8.94,9.02,494000.0,
1998-03-05,0.0,8.98,8.83,8.86,418400.0,
1998-03-06,0.0,9.05,8.92,8.98,655600.0,
1998-03-09,0.0,9.09,8.94,9.0,422400.0,
1998-03-10,0.0,9.19,8.97,9.12,378800.0,
1998-03-11,0.0,9.2,9.12,9.16,208000.0,
1998-03-12,0.0,9.12,8.97,9.02,471200.0,
1998-03-13,0.0,9.16,8.94,8.94,928400.0,
1998-03-16,0.0,8.97,8.84,8.86,407200.0,
1998-03-17,0.0,8.89,8.77,8.81,264400.0,
1998-03-18,0.0,8.86,8.75,8.84,533600.0,
1998-03-19,0.0,8.86,8.75,8.78,2102800.0,
1998-03-20,0.0,8.78,8.66,8.69,1231200.0,
1998-03-23,0.0,8.72,8.62,8.66,314000.0,
1998-03-24,0.0,8.66,8.56,8.61,1572800.0,
1998-03-25,0.0,8.66,8.56,8.58,524000.0,
1998-03-26,0.0,8.78,8.55,8.69,1190400.0,
1998-03-27,0.0,8.75,8.56,8.62,745200.0,
1998-03-30,0.0,8.67,8.53,8.55,1480400.0,
1998-03-31,0.0,8.56,8.53,8.56,946400.0,
1998-04-01,0.0,8.56,8.47,8.53,900800.0,
1998-04-02,0.0,8.56,8.42,8.52,620800.0,
1998-04-03,0.0,8.66,8.48,8.66,730800.0,
1998-04-06,0.0,8.75,8.64,8.64,705200.0,
1998-04-07,0.0,8.78,8.64,8.72,1074000.0,
1998-04-08,0.0,8.91,8.56,8.62,856000.0,
1998-04-09,0.0,8.78,8.66,8.75,654800.0,
1998-04-10,nan,nan,nan,nan,nan,
1998-04-13,0.0,8.88,8.69,8.73,531600.0,
1998-04-14,0.0,8.73,8.69,8.73,366800.0,
1998-04-15,0.0,8.72,8.66,8.69,472000.0,
1998-04-16,0.0,8.72,8.53,8.58,636000.0,
