DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-08-28,0.0,21.06,20.62,20.62,243800.0,
1997-08-29,0.0,20.62,20.41,20.44,15400.0,
1997-09-01,nan,nan,nan,nan,nan,
1997-09-02,0.0,20.72,20.34,20.72,79000.0,
1997-09-03,0.0,20.72,20.41,20.44,126800.0,
1997-09-04,0.0,20.47,20.19,20.47,140400.0,
1997-09-05,0.0,20.47,19.94,20.19,184400.0,
1997-09-08,0.0,20.25,20.03,20.25,151000.0,
1997-09-09,0.0,20.53,20.25,20.53,86000.0,
1997-09-10,0.0,20.53,20.41,20.41,20000.0,
1997-09-11,0.0,21.03,20.34,20.94,3451400.0,
1997-09-12,0.0,22.0,21.06,21.5,1596200.0,
1997-09-15,0.0,21.62,21.25,21.25,309200.0,
1997-09-16,0.0,21.5,20.97,21.09,815600.0,
1997-09-17,0.0,21.22,21.0,21.09,360000.0,
1997-09-18,0.0,21.88,21.22,21.5,350200.0,
1997-09-19,0.0,21.88,21.5,21.78,276200.0,
1997-09-22,0.0,22.94,21.81,22.38,530000.0,
1997-09-23,0.0,22.38,22.0,22.09,346800.0,
1997-09-24,0.0,22.25,21.97,22.0,183200.0,
1997-09-25,0.0,22.19,21.66,21.69,622600.0,
1997-09-26,0.0,21.81,21.5,21.5,126000.0,
1997-09-29,0.0,21.66,21.25,21.66,247200.0,
1997-09-30,0.0,22.06,21.56,21.88,238800.0,
1997-10-01,0.0,22.12,21.59,21.59,345200.0,
1997-10-02,0.0,21.91,21.5,21.5,289800.0,
1997-10-03,0.0,21.97,21.53,21.88,271200.0,
1997-10-06,0.0,22.0,21.62,21.81,42400.0,
1997-10-07,0.0,21.91,21.62,21.84,973400.0,
1997-10-08,0.0,22.03,21.81,21.91,149600.0,
1997-10-09,0.0,22.16,21.84,22.0,139400.0,
1997-10-10,0.0,22.12,21.91,22.0,45000.0,
1997-10-13,0.0,22.22,21.97,22.16,79400.0,
1997-10-14,0.0,22.44,21.94,22.38,208200.0,
1997-10-15,0.0,22.31,22.06,22.09,39400.0,
1997-10-16,0.0,22.44,22.09,22.44,119400.0,
1997-10-17,0.0,22.38,22.12,22.19,127600.0,
1997-10-20,0.0,22.31,22.06,22.19,264400.0,
1997-10-21,0.0,22.97,22.25,22.84,190800.0,
1997-10-22,0.0,22.88,22.75,22.81,60600.0,
1997-10-23,0.0,22.81,22.5,22.72,203600.0,
1997-10-24,0.0,23.12,22.75,22.84,95200.0,
1997-10-27,0.0,22.75,21.69,21.69,166000.0,
1997-10-28,0.0,21.88,20.81,21.84,239800.0,
1997-10-29,0.0,24.25,22.5,23.12,646800.0,
1997-10-30,0.0,23.5,22.75,22.94,367000.0,
1997-10-31,0.0,23.31,22.94,23.22,76800.0,
1997-11-03,0.0,23.44,23.09,23.31,219000.0,
1997-11-04,0.0,23.75,23.06,23.72,208000.0,
1997-11-05,0.0,23.81,23.53,23.75,221400.0,
1997-11-06,0.0,23.72,23.28,23.31,74600.0,
1997-11-07,0.0,23.25,22.5,22.72,200200.0,
1997-11-10,0.0,22.69,22.38,22.66,138600.0,
1997-11-11,0.0,22.94,22.56,22.75,25200.0,
1997-11-12,0.0,22.62,22.38,22.53,113200.0,
1997-11-13,0.0,22.69,22.5,22.53,117800.0,
1997-11-14,0.0,22.75,22.56,22.62,72200.0,
1997-11-17,0.0,23.81,22.75,23.62,440400.0,
1997-11-18,0.0,23.75,23.38,23.47,106600.0,
1997-11-19,0.0,23.5,23.38,23.38,38400.0,
1997-11-20,0.0,23.88,23.31,23.59,269800.0,
1997-11-21,0.0,24.0,23.62,24.0,645800.0,
1997-11-24,0.0,24.0,23.53,23.53,272200.0,
1997-11-25,0.0,23.69,23.43,23.56,233000.0,
1997-11-26,0.0,23.62,23.38,23.44,71800.0,
1997-11-27,nan,nan,nan,nan,nan,
1997-11-28,0.0,24.03,23.47,24.0,204200.0,
1997-12-01,0.0,24.31,23.94,23.94,411200.0,
1997-12-02,0.0,24.05,23.81,23.91,510800.0,
1997-12-03,0.0,24.06,23.88,24.0,296400.0,
1997-12-04,0.0,24.47,24.03,24.09,314800.0,
1997-12-05,0.0,24.31,23.81,24.28,116200.0,
1997-12-08,0.0,24.56,24.19,24.38,162200.0,
1997-12-09,0.0,24.44,24.25,24.31,233000.0,
1997-12-10,0.0,24.38,24.16,24.22,192800.0,
1997-12-11,0.0,24.12,23.94,24.0,76600.0,
1997-12-12,0.0,24.06,23.88,23.94,225600.0,
1997-12-15,0.0,24.0,23.69,24.0,284600.0,
1997-12-16,0.0,24.75,24.0,24.66,533600.0,
1997-12-17,0.0,24.56,23.62,23.66,365400.0,
1997-12-18,0.0,24.19,23.75,24.12,264800.0,
1997-12-19,0.0,24.16,23.94,24.12,1022600.0,
1997-12-22,0.0,24.88,24.12,24.88,803800.0,
1997-12-23,0.0,24.97,24.56,24.75,125000.0,
1997-12-24,0.0,24.81,24.69,24.69,53600.0,
1997-12-25,nan,nan,nan,nan,nan,
1997-12-26,0.0,24.75,24.66,24.72,22200.0,
1997-12-29,0.0,24.97,24.78,24.88,80000.0,
1997-12-30,0.0,26.44,24.88,25.94,936800.0,
1997-12-31,0.0,26.81,25.97,26.66,520000.0,
1998-01-01,nan,nan,nan,nan,nan,
1998-01-02,0.0,26.75,25.06,26.25,670400.0,
1998-01-05,0.0,26.25,25.84,26.03,461200.0,
1998-01-06,0.0,26.03,25.53,25.66,177800.0,
1998-01-07,0.0,25.56,25.0,25.5,612200.0,
1998-01-08,0.0,25.62,25.47,25.5,309600.0,
1998-01-09,0.0,25.56,24.94,25.0,691600.0,
1998-01-12,0.0,25.25,24.81,25.25,266600.0,
1998-01-13,0.0,25.59,25.03,25.56,180400.0,
1998-01-14,0.0,26.44,25.38,26.25,330000.0,
1998-01-15,0.0,26.5,26.0,26.38,201400.0,
1998-01-16,0.0,26.41,26.19,26.19,97200.0,
1998-01-19,nan,nan,nan,nan,nan,
