DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-08-28,0.0,28.15,27.64,28.15,112300.0,
1997-08-29,0.0,28.35,27.74,27.74,171200.0,
1997-09-01,nan,nan,nan,nan,nan,
1997-09-02,0.0,28.45,27.74,28.35,208500.0,
1997-09-03,0.0,28.45,28.2,28.4,278100.0,
1997-09-04,0.0,29.16,28.35,28.81,293000.0,
1997-09-05,0.0,29.26,28.65,29.11,253700.0,
1997-09-08,0.0,30.27,29.06,29.87,194600.0,
1997-09-09,0.0,30.17,29.77,29.97,138300.0,
1997-09-10,0.0,30.12,29.46,29.67,271400.0,
1997-09-11,0.0,29.87,28.96,28.96,224100.0,
1997-09-12,0.0,29.87,29.06,29.87,147900.0,
1997-09-15,0.0,30.58,29.87,29.87,176500.0,
1997-09-16,0.0,30.38,29.87,30.38,224400.0,
1997-09-17,0.0,30.68,29.87,30.68,576500.0,
1997-09-18,0.0,32.0,30.58,31.59,439900.0,
1997-09-19,0.0,31.59,30.68,31.29,636400.0,
1997-09-22,0.0,31.79,31.18,31.69,147500.0,
1997-09-23,0.0,31.79,29.56,29.72,507400.0,
1997-09-24,0.0,30.27,29.77,29.92,578400.0,
1997-09-25,0.0,29.97,29.67,29.82,236700.0,
1997-09-26,0.0,29.97,29.72,29.77,132200.0,
1997-09-29,0.0,30.17,29.77,29.87,134900.0,
1997-09-30,0.0,29.97,29.72,29.77,198100.0,
1997-10-01,0.0,30.68,29.77,30.38,408600.0,
1997-10-02,0.0,32.1,30.27,32.05,889500.0,
1997-10-03,0.0,32.6,31.08,31.39,360700.0,
1997-10-06,0.0,32.1,31.18,31.59,245800.0,
1997-10-07,0.0,31.79,31.39,31.54,212001.0,
1997-10-08,0.0,31.69,31.29,31.39,232800.0,
1997-10-09,0.0,31.59,31.18,31.34,111600.0,
1997-10-10,0.0,31.39,30.68,30.78,211601.0,
1997-10-13,0.0,30.98,30.68,30.98,46200.0,
1997-10-14,0.0,31.49,30.68,30.68,230200.0,
1997-10-15,0.0,30.68,29.97,30.27,357799.0,
1997-10-16,0.0,30.88,30.27,30.48,144100.0,
1997-10-17,0.0,30.78,30.38,30.68,658300.0,
1997-10-20,0.0,31.03,30.48,30.88,123800.0,
1997-10-21,0.0,31.74,30.83,31.39,172500.0,
1997-10-22,0.0,31.59,31.18,31.29,82600.0,
1997-10-23,0.0,31.18,30.38,31.08,124300.0,
1997-10-24,0.0,31.79,30.98,31.08,180100.0,
1997-10-27,0.0,31.49,29.46,29.62,210201.0,
1997-10-28,0.0,29.46,28.86,29.36,290700.0,
1997-10-29,0.0,30.58,29.87,30.58,128400.0,
1997-10-30,0.0,30.38,29.36,29.77,126300.0,
1997-10-31,0.0,30.58,29.77,29.77,140200.0,
1997-11-03,0.0,30.55,29.87,30.55,114801.0,
1997-11-04,0.0,30.98,30.38,30.93,188500.0,
1997-11-05,0.0,38.98,30.78,31.54,488100.0,
1997-11-06,0.0,31.69,30.78,30.88,406199.0,
1997-11-07,0.0,30.78,29.87,29.97,142000.0,
1997-11-10,0.0,30.48,29.97,30.48,136300.0,
1997-11-11,0.0,30.58,30.27,30.58,61100.0,
1997-11-12,0.0,30.53,29.87,29.87,100000.0,
1997-11-13,0.0,30.17,29.67,30.07,71001.0,
1997-11-14,0.0,30.38,29.56,29.67,156000.0,
1997-11-17,0.0,30.98,29.77,30.63,258601.0,
1997-11-18,0.0,30.98,30.38,30.55,91100.0,
1997-11-19,0.0,31.18,30.38,30.98,219500.0,
1997-11-20,0.0,31.84,31.29,31.39,669400.0,
1997-11-21,0.0,31.49,30.88,31.39,634700.0,
1997-11-24,0.0,31.39,30.58,30.78,91500.0,
1997-11-25,0.0,31.89,30.53,31.59,292600.0,
1997-11-26,0.0,31.94,31.59,31.89,379300.0,
1997-11-27,nan,nan,nan,nan,nan,
1997-11-28,0.0,32.05,31.29,31.29,103000.0,
1997-12-01,0.0,33.01,31.39,32.8,550900.0,
1997-12-02,0.0,33.41,32.6,32.8,250000.0,
1997-12-03,0.0,33.21,32.6,33.01,345300.0,
1997-12-04,0.0,33.62,32.8,32.91,268500.0,
1997-12-05,0.0,34.42,32.6,34.42,496801.0,
1997-12-08,0.0,35.34,33.92,34.42,553700.0,
1997-12-09,0.0,34.42,33.56,33.56,237400.0,
1997-12-10,0.0,34.02,33.21,33.82,465300.0,
1997-12-11,0.0,34.22,33.21,33.82,157300.0,
1997-12-12,0.0,34.22,33.82,33.92,275800.0,
1997-12-15,0.0,34.73,33.82,34.73,190900.0,
1997-12-16,0.0,36.45,34.42,36.25,823800.0,
1997-12-17,0.0,36.25,35.44,35.64,411900.0,
1997-12-18,0.0,35.74,33.82,34.63,445900.0,
1997-12-19,0.0,34.42,33.01,34.12,357199.0,
1997-12-22,0.0,34.88,33.92,34.22,256701.0,
1997-12-23,0.0,34.42,33.51,34.02,143500.0,
1997-12-24,0.0,34.22,33.41,33.41,82000.0,
1997-12-25,nan,nan,nan,nan,nan,
1997-12-26,0.0,33.62,33.01,33.21,109400.0,
1997-12-29,0.0,34.22,33.31,34.02,218300.0,
1997-12-30,0.0,34.32,33.82,34.17,226700.0,
1997-12-31,0.0,34.73,34.02,34.17,244100.0,
1998-01-01,nan,nan,nan,nan,nan,
1998-01-02,0.0,34.68,34.02,34.48,333800.0,
1998-01-05,0.0,35.24,34.22,35.24,338900.0,
1998-01-06,0.0,35.24,34.12,34.12,332700.0,
1998-01-07,0.0,34.02,33.11,33.41,348600.0,
1998-01-08,0.0,33.51,32.0,32.75,445800.0,
1998-01-09,0.0,32.91,31.59,32.2,459800.0,
1998-01-12,0.0,32.1,31.18,31.69,441200.0,
1998-01-13,0.0,32.4,30.88,30.88,359399.0,
1998-01-14,0.0,32.5,31.08,32.1,521100.0,
1998-01-15,0.0,32.6,31.79,32.05,223200.0,
1998-01-16,0.0,32.5,31.79,32.5,521600.0,
1998-01-19,nan,nan,nan,nan,nan,
1998-01-20,0.0,32.7,32.1,32.4,116901.0,
1998-01-21,0.0,32.5,31.89,32.25,204300.0,
1998-01-22,0.0,32.3,31.94,32.1,96300.0,
1998-01-23,0.0,32.4,30.98,31.29,258101.0,
1998-01-26,0.0,31.49,31.08,31.41,214599.0,
1998-01-27,0.0,31.79,31.18,31.64,136800.0,
1998-01-28,0.0,32.2,31.59,32.2,160200.0,
1998-01-29,0.0,32.7,31.79,32.0,262499.0,
1998-01-30,0.0,32.96,31.69,31.69,354701.0,
1998-02-02,0.0,33.16,31.89,32.8,254800.0,
1998-02-03,0.0,33.31,32.5,33.11,302300.0,
1998-02-04,0.0,33.31,33.01,33.31,108800.0,
1998-02-05,0.0,33.41,32.8,33.36,121999.0,
1998-02-06,0.0,33.82,32.8,32.8,272200.0,
1998-02-09,0.0,32.8,31.49,31.69,550499.0,
1998-02-10,0.0,32.4,31.79,32.05,542501.0,
1998-02-11,0.0,32.1,31.59,31.59,480900.0,
1998-02-12,0.0,31.79,30.78,31.13,591701.0,
1998-02-13,0.0,31.18,30.78,30.78,400901.0,
1998-02-16,nan,nan,nan,nan,nan,
1998-02-17,0.0,31.13,30.58,30.73,648600.0,
1998-02-18,0.0,31.39,30.68,31.29,458900.0,
1998-02-19,0.0,31.44,31.08,31.24,271700.0,
1998-02-20,0.0,31.79,31.13,31.64,1555600.0,
1998-02-23,0.0,32.2,31.59,31.64,638401.0,
1998-02-24,0.0,32.2,31.49,32.1,379100.0,
1998-02-25,0.0,32.4,31.89,32.3,475900.0,
1998-02-26,0.0,32.4,32.0,32.2,273600.0,
1998-02-27,0.0,32.4,31.89,32.2,269400.0,
1998-03-02,0.0,32.55,32.2,32.37,572100.0,
1998-03-03,0.0,33.41,32.2,33.36,774600.0,
1998-03-04,0.0,33.41,32.7,33.01,323700.0,
1998-03-05,0.0,33.11,32.5,33.01,376200.0,
1998-03-06,0.0,33.41,32.7,33.41,1076900.0,
1998-03-09,0.0,33.36,32.8,33.01,220600.0,
1998-03-10,0.0,33.46,32.96,33.41,475600.0,
1998-03-11,0.0,33.41,33.11,33.26,295900.0,
1998-03-12,0.0,33.36,33.01,33.11,360399.0,
1998-03-13,0.0,33.41,32.8,33.01,262099.0,
1998-03-16,0.0,33.82,32.96,33.72,448801.0,
1998-03-17,0.0,33.82,33.36,33.72,642099.0,
1998-03-18,0.0,33.62,33.41,33.62,286400.0,
1998-03-19,0.0,33.67,33.51,33.62,129800.0,
1998-03-20,0.0,33.72,33.41,33.67,294100.0,
1998-03-23,0.0,33.72,33.46,33.51,223100.0,
1998-03-24,0.0,33.62,33.46,33.54,212001.0,
1998-03-25,0.0,34.02,33.51,33.92,516400.0,
1998-03-26,0.0,34.02,33.62,34.02,310999.0,
1998-03-27,0.0,34.02,33.51,33.56,235300.0,
1998-03-30,0.0,33.82,33.51,33.62,189500.0,
1998-03-31,0.0,33.97,33.51,33.97,407699.0,
1998-04-01,0.0,34.02,33.67,33.77,356299.0,
1998-04-02,0.0,34.27,33.82,34.07,486300.0,
1998-04-03,0.0,34.53,33.82,33.92,203500.0,
1998-04-06,0.0,34.37,33.92,34.02,407499.0,
1998-04-07,0.0,34.02,33.62,33.67,250200.0,
1998-04-08,0.0,33.72,33.21,33.21,302800.0,
1998-04-09,0.0,33.67,33.31,33.41,448001.0,
1998-04-10,nan,nan,nan,nan,nan,
1998-04-13,0.0,34.42,33.56,33.92,644299.0,
1998-04-14,0.0,34.22,33.67,34.22,548899.0,
1998-04-15,0.0,35.03,34.12,34.93,702500.0,
1998-04-16,0.0,35.03,34.48,34.53,540100.0,
1998-04-17,0.0,34.88,34.32,34.83,263499.0,
1998-04-20,0.0,34.83,34.37,34.53,147300.0,
1998-04-21,0.0,34.93,34.32,34.83,185900.0,
1998-04-22,0.0,36.96,34.63,36.15,953800.0,
1998-04-23,0.0,36.7,35.89,36.65,491000.0,
1998-04-24,0.0,36.96,36.3,36.45,653200.0,
1998-04-27,0.0,36.1,34.12,35.13,476900.0,
1998-04-28,0.0,35.34,34.83,35.24,461400.0,
1998-04-29,0.0,36.15,35.03,35.94,661700.0,
1998-04-30,0.0,36.35,35.13,35.34,314400.0,
1998-05-01,0.0,35.49,35.13,35.44,91700.0,
1998-05-04,0.0,35.44,35.03,35.03,211501.0,
1998-05-05,0.0,35.18,34.42,34.48,180600.0,
1998-05-06,0.0,35.34,34.73,34.98,657900.0,
1998-05-07,0.0,35.03,34.42,34.63,263099.0,
