DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-08-27,0.0,18.56,18.25,18.56,42200.0,
1997-08-28,0.0,18.56,18.25,18.56,40600.0,
1997-08-29,0.0,18.88,18.25,18.62,301400.0,
1997-09-01,nan,nan,nan,nan,nan,
1997-09-02,0.0,18.62,18.25,18.25,14800.0,
1997-09-03,0.0,18.62,18.12,18.12,243600.0,
1997-09-04,0.0,18.31,17.81,17.81,55400.0,
1997-09-05,0.0,18.0,17.62,17.88,56200.0,
1997-09-08,0.0,18.12,17.38,17.38,72200.0,
1997-09-09,0.0,17.62,17.25,17.5,55800.0,
1997-09-10,0.0,18.56,17.5,18.56,196200.0,
1997-09-11,0.0,18.56,17.88,18.56,349600.0,
1997-09-12,0.0,19.0,18.25,18.75,176400.0,
1997-09-15,0.0,19.75,18.88,19.56,430200.0,
1997-09-16,0.0,19.94,19.56,19.81,224800.0,
1997-09-17,0.0,20.0,18.31,18.31,556400.0,
1997-09-18,0.0,18.62,18.25,18.56,8198400.0,
1997-09-19,0.0,19.25,18.44,18.69,2001600.0,
1997-09-22,0.0,19.0,18.44,18.94,979600.0,
1997-09-23,0.0,19.09,18.75,19.0,908400.0,
1997-09-24,0.0,19.25,19.0,19.12,643600.0,
1997-09-25,0.0,19.38,19.06,19.25,698800.0,
1997-09-26,0.0,19.5,18.94,19.06,214200.0,
1997-09-29,0.0,20.25,19.06,19.75,1003200.0,
1997-09-30,0.0,20.75,19.75,20.19,989800.0,
1997-10-01,0.0,20.94,20.12,20.69,694400.0,
1997-10-02,0.0,20.88,20.44,20.62,1198200.0,
1997-10-03,0.0,20.88,19.75,20.12,938800.0,
1997-10-06,0.0,20.25,19.38,19.38,417800.0,
1997-10-07,0.0,20.12,19.38,19.62,362400.0,
1997-10-08,0.0,20.0,18.81,19.81,439600.0,
1997-10-09,0.0,19.81,19.0,19.69,328400.0,
1997-10-10,0.0,19.75,19.12,19.25,252000.0,
1997-10-13,0.0,19.81,19.19,19.25,275400.0,
1997-10-14,0.0,20.19,19.0,19.19,466200.0,
1997-10-15,0.0,19.5,19.12,19.12,231800.0,
1997-10-16,0.0,19.38,18.0,18.25,248600.0,
1997-10-17,0.0,18.38,18.0,18.17,309800.0,
1997-10-20,0.0,18.62,18.0,18.56,185600.0,
1997-10-21,0.0,18.69,18.25,18.41,84400.0,
1997-10-22,0.0,18.62,18.38,18.5,88400.0,
1997-10-23,0.0,18.69,17.94,18.62,275400.0,
1997-10-24,0.0,18.81,18.25,18.25,132200.0,
1997-10-27,0.0,18.06,17.38,17.38,252600.0,
1997-10-28,0.0,18.38,16.69,18.38,486800.0,
