DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-08-27,0.0,19.0,18.5,19.0,46100.0,
1997-08-28,0.0,19.12,18.0,19.12,138000.0,
1997-08-29,0.0,19.69,18.75,19.62,108600.0,
1997-09-01,nan,nan,nan,nan,nan,
1997-09-02,0.0,20.0,18.88,19.56,179000.0,
1997-09-03,0.0,19.75,18.5,18.62,91400.0,
1997-09-04,0.0,18.75,16.5,17.5,259700.0,
1997-09-05,0.0,18.0,17.5,17.88,64900.0,
1997-09-08,0.0,18.25,17.5,17.81,50400.0,
1997-09-09,0.0,17.75,17.25,17.31,16100.0,
1997-09-10,0.0,18.12,17.25,18.12,85200.0,
1997-09-11,0.0,18.0,17.25,17.62,49300.0,
1997-09-12,0.0,17.69,17.5,17.69,12300.0,
1997-09-15,0.0,18.12,17.62,17.75,41900.0,
1997-09-16,0.0,18.0,17.0,17.38,52600.0,
1997-09-17,0.0,17.62,16.88,16.88,77500.0,
1997-09-18,0.0,17.75,17.12,17.19,64500.0,
1997-09-19,0.0,17.62,17.38,17.5,57700.0,
1997-09-22,0.0,17.75,17.25,17.5,38700.0,
1997-09-23,0.0,18.75,17.38,18.25,95600.0,
1997-09-24,0.0,18.5,17.75,17.88,84300.0,
1997-09-25,0.0,18.0,17.62,17.75,25500.0,
1997-09-26,0.0,18.0,17.75,18.0,19100.0,
1997-09-29,0.0,18.38,17.75,18.25,30700.0,
1997-09-30,0.0,18.5,18.12,18.44,33100.0,
1997-10-01,0.0,19.5,18.25,19.5,165700.0,
1997-10-02,0.0,19.62,18.81,18.81,70500.0,
1997-10-03,0.0,20.25,18.75,19.5,148600.0,
1997-10-06,0.0,20.75,19.12,20.69,234300.0,
1997-10-07,0.0,21.62,20.38,20.94,218500.0,
1997-10-08,0.0,21.38,20.62,20.81,131300.0,
1997-10-09,0.0,21.38,20.62,21.12,117600.0,
1997-10-10,0.0,21.25,20.75,21.0,48500.0,
1997-10-13,0.0,22.5,20.62,21.5,115000.0,
1997-10-14,0.0,23.5,21.88,23.5,499600.0,
1997-10-15,0.0,25.25,23.06,24.62,568000.0,
1997-10-16,0.0,24.75,23.5,23.62,183000.0,
1997-10-17,0.0,24.12,23.12,23.75,121900.0,
1997-10-20,0.0,24.88,23.5,23.94,108900.0,
1997-10-21,0.0,24.5,24.0,24.12,119700.0,
1997-10-22,0.0,24.75,24.12,24.12,48900.0,
1997-10-23,0.0,24.25,22.88,24.0,156100.0,
1997-10-24,0.0,24.62,23.0,23.38,138100.0,
1997-10-27,0.0,23.38,21.75,21.75,154100.0,
1997-10-28,0.0,21.38,18.62,21.12,395800.0,
1997-10-29,0.0,21.75,20.06,20.5,127100.0,
1997-10-30,0.0,20.75,19.0,20.5,109000.0,
1997-10-31,0.0,22.5,21.0,21.38,121600.0,
1997-11-03,0.0,22.38,20.75,21.0,86200.0,
1997-11-04,0.0,21.25,20.5,20.62,48100.0,
1997-11-05,0.0,21.5,20.5,21.25,131300.0,
1997-11-06,0.0,21.88,21.25,21.31,75400.0,
1997-11-07,0.0,21.5,21.0,21.5,71400.0,
1997-11-10,0.0,21.88,21.38,21.56,46000.0,
1997-11-11,0.0,21.75,21.5,21.56,31000.0,
1997-11-12,0.0,21.75,20.62,20.62,102500.0,
1997-11-13,0.0,21.0,20.38,20.69,57700.0,
1997-11-14,0.0,20.75,20.38,20.38,40500.0,
1997-11-17,0.0,21.0,20.38,20.5,119700.0,
1997-11-18,0.0,20.19,19.62,19.75,124800.0,
1997-11-19,0.0,19.88,18.75,19.31,254100.0,
1997-11-20,0.0,19.75,18.25,19.75,956000.0,
1997-11-21,0.0,19.75,18.5,19.0,2153900.0,
1997-11-24,0.0,19.75,18.75,18.75,517900.0,
1997-11-25,0.0,18.94,18.25,18.31,402600.0,
1997-11-26,0.0,18.5,18.19,18.25,210600.0,
1997-11-27,nan,nan,nan,nan,nan,
1997-11-28,0.0,18.38,17.38,17.62,212800.0,
1997-12-01,0.0,18.12,16.81,18.0,813100.0,
1997-12-02,0.0,18.12,17.0,17.12,165200.0,
1997-12-03,0.0,17.5,17.0,17.0,169700.0,
1997-12-04,0.0,17.62,17.0,17.62,128200.0,
1997-12-05,0.0,17.75,17.25,17.38,159500.0,
