DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-08-25,0.0,4.36,4.3,4.3,20802.0,
1997-08-26,0.0,4.35,4.3,4.3,19200.0,
1997-08-27,0.0,4.38,4.3,4.38,28002.0,
1997-08-28,0.0,4.49,4.38,4.48,46002.0,
1997-08-29,0.0,4.54,4.52,4.52,18000.0,
1997-09-01,nan,nan,nan,nan,nan,
1997-09-02,0.0,4.55,4.5,4.54,18402.0,
1997-09-03,0.0,4.68,4.54,4.68,34800.0,
1997-09-04,0.0,4.69,4.67,4.69,8400.0,
1997-09-05,0.0,4.72,4.71,4.72,19200.0,
1997-09-08,0.0,4.76,4.72,4.76,12402.0,
1997-09-09,0.0,4.86,4.77,4.86,31602.0,
1997-09-10,0.0,5.0,4.96,4.98,112002.0,
1997-09-11,0.0,4.98,4.92,4.93,64800.0,
1997-09-12,0.0,4.94,4.94,4.94,1602.0,
1997-09-15,0.0,4.98,4.94,4.97,5202.0,
1997-09-16,0.0,5.19,5.0,5.13,75600.0,
1997-09-17,0.0,5.15,5.04,5.04,11202.0,
1997-09-18,0.0,5.1,5.04,5.08,8400.0,
1997-09-19,0.0,5.07,5.03,5.04,36000.0,
1997-09-22,0.0,5.05,5.03,5.05,11202.0,
1997-09-23,0.0,5.1,5.05,5.1,77202.0,
1997-09-24,0.0,5.12,5.12,5.12,4800.0,
1997-09-25,0.0,5.1,5.1,5.1,6000.0,
1997-09-26,0.0,5.13,4.95,4.96,52800.0,
1997-09-29,0.0,5.03,4.92,5.03,97602.0,
1997-09-30,0.0,5.13,5.07,5.11,54402.0,
1997-10-01,0.0,5.15,5.1,5.11,14400.0,
1997-10-02,0.0,5.19,5.15,5.17,25602.0,
1997-10-03,0.0,5.29,5.18,5.29,21600.0,
1997-10-06,0.0,5.4,5.23,5.27,42000.0,
1997-10-07,0.0,5.25,5.2,5.22,19200.0,
1997-10-08,0.0,5.22,5.11,5.11,14400.0,
1997-10-09,0.0,5.46,5.07,5.4,109200.0,
1997-10-10,0.0,5.39,5.37,5.37,10800.0,
1997-10-13,0.0,5.42,5.36,5.36,8802.0,
1997-10-14,0.0,5.42,5.35,5.42,10002.0,
1997-10-15,0.0,5.48,5.42,5.48,14400.0,
1997-10-16,0.0,5.48,5.38,5.38,16800.0,
1997-10-17,0.0,5.35,5.02,5.05,55602.0,
1997-10-20,0.0,5.14,4.96,5.14,75600.0,
1997-10-21,0.0,5.19,5.15,5.19,8802.0,
1997-10-22,0.0,5.17,5.15,5.17,34002.0,
1997-10-23,0.0,5.16,4.98,4.98,115602.0,
1997-10-24,0.0,5.05,5.0,5.05,57600.0,
1997-10-27,0.0,5.0,4.86,4.86,52800.0,
1997-10-28,0.0,4.93,4.78,4.93,31602.0,
1997-10-29,0.0,5.0,4.93,4.95,20400.0,
1997-10-30,0.0,4.96,4.88,4.91,46800.0,
1997-10-31,0.0,4.93,4.81,4.83,58002.0,
1997-11-03,0.0,4.92,4.8,4.92,61602.0,
1997-11-04,0.0,5.0,4.94,5.0,14802.0,
1997-11-05,0.0,5.0,5.0,5.0,402.0,
1997-11-06,0.0,5.17,5.04,5.12,37200.0,
1997-11-07,0.0,5.23,5.12,5.21,42402.0,
1997-11-10,0.0,5.29,5.25,5.29,20802.0,
1997-11-11,0.0,5.28,5.25,5.28,17202.0,
1997-11-12,0.0,5.28,5.25,5.26,29202.0,
1997-11-13,0.0,5.28,5.25,5.26,16800.0,
1997-11-14,0.0,5.29,5.25,5.29,22800.0,
1997-11-17,0.0,5.52,5.32,5.5,136800.0,
1997-11-18,0.0,5.57,5.52,5.57,12402.0,
1997-11-19,0.0,5.69,5.5,5.5,114402.0,
1997-11-20,0.0,5.52,5.46,5.46,104400.0,
1997-11-21,0.0,5.48,5.32,5.32,31602.0,
1997-11-24,0.0,5.37,5.19,5.19,25602.0,
1997-11-25,0.0,5.18,5.11,5.17,39600.0,
1997-11-26,0.0,5.25,5.2,5.24,16800.0,
1997-11-27,nan,nan,nan,nan,nan,
1997-11-28,0.0,5.27,5.24,5.26,6402.0,
1997-12-01,0.0,5.45,5.28,5.45,37200.0,
1997-12-02,0.0,5.52,5.45,5.52,37602.0,
1997-12-03,0.0,5.6,5.51,5.59,30000.0,
1997-12-04,0.0,5.67,5.61,5.62,13200.0,
1997-12-05,0.0,5.75,5.58,5.75,39600.0,
1997-12-08,0.0,5.71,5.62,5.62,14400.0,
1997-12-09,0.0,5.65,5.63,5.65,7602.0,
1997-12-10,0.0,5.69,5.58,5.62,22800.0,
1997-12-11,0.0,5.61,5.5,5.51,13200.0,
1997-12-12,0.0,5.49,5.46,5.49,17202.0,
1997-12-15,0.0,5.47,5.39,5.45,79602.0,
1997-12-16,0.0,5.49,5.41,5.42,18402.0,
1997-12-17,0.0,5.48,5.43,5.48,20802.0,
1997-12-18,0.0,5.49,5.48,5.48,7200.0,
1997-12-19,0.0,5.49,5.43,5.49,104400.0,
1997-12-22,0.0,5.53,5.49,5.52,91200.0,
1997-12-23,0.0,5.53,5.49,5.53,31200.0,
1997-12-24,0.0,5.53,5.5,5.53,10800.0,
1997-12-25,nan,nan,nan,nan,nan,
1997-12-26,0.0,5.54,5.51,5.54,78000.0,
1997-12-29,0.0,5.57,5.52,5.57,7200.0,
1997-12-30,0.0,5.71,5.59,5.7,51600.0,
1997-12-31,0.0,5.76,5.72,5.72,13602.0,
1998-01-01,nan,nan,nan,nan,nan,
1998-01-02,0.0,5.69,5.65,5.66,28800.0,
1998-01-05,0.0,5.68,5.52,5.52,49602.0,
1998-01-06,0.0,5.68,5.46,5.68,80400.0,
1998-01-07,0.0,5.72,5.66,5.72,51600.0,
1998-01-08,0.0,5.71,5.7,5.71,28002.0,
1998-01-09,0.0,5.86,5.69,5.79,107202.0,
1998-01-12,0.0,5.78,5.71,5.71,19200.0,
1998-01-13,0.0,5.73,5.68,5.69,9600.0,
1998-01-14,0.0,5.69,5.67,5.67,13602.0,
1998-01-15,0.0,5.69,5.65,5.66,16002.0,
