DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-08-28,0.0,8.45,8.25,8.42,897200.0,
1997-08-29,0.0,8.41,8.31,8.33,276000.0,
1997-09-01,nan,nan,nan,nan,nan,
1997-09-02,0.0,8.44,8.31,8.42,728800.0,
1997-09-03,0.0,8.7,8.47,8.66,1374400.0,
1997-09-04,0.0,8.78,8.69,8.72,882000.0,
1997-09-05,0.0,8.72,8.48,8.48,1033200.0,
1997-09-08,0.0,8.56,8.5,8.5,2306400.0,
1997-09-09,0.0,8.5,8.31,8.33,1419200.0,
1997-09-10,0.0,8.34,8.22,8.25,2138400.0,
1997-09-11,0.0,8.22,8.09,8.12,923600.0,
1997-09-12,0.0,8.31,8.16,8.3,415200.0,
1997-09-15,0.0,8.44,8.34,8.44,500800.0,
1997-09-16,0.0,8.52,8.28,8.52,565600.0,
1997-09-17,0.0,8.59,8.42,8.44,2051600.0,
1997-09-18,0.0,8.45,8.22,8.28,1155200.0,
1997-09-19,0.0,8.38,8.27,8.38,573600.0,
1997-09-22,0.0,8.39,8.27,8.28,274400.0,
1997-09-23,0.0,8.27,8.11,8.12,3308000.0,
1997-09-24,0.0,8.25,8.03,8.22,2162400.0,
1997-09-25,0.0,8.23,8.06,8.08,2201600.0,
1997-09-26,0.0,8.09,8.05,8.08,1196400.0,
1997-09-29,0.0,8.25,8.09,8.16,2294800.0,
1997-09-30,0.0,8.22,8.16,8.2,2032000.0,
1997-10-01,0.0,8.25,8.16,8.19,2701200.0,
1997-10-02,0.0,8.31,8.17,8.27,1796400.0,
1997-10-03,0.0,8.45,8.3,8.42,1368000.0,
1997-10-06,0.0,8.5,8.41,8.47,615600.0,
1997-10-07,0.0,8.5,8.42,8.44,1835600.0,
1997-10-08,0.0,8.44,8.12,8.2,1644000.0,
1997-10-09,0.0,8.28,8.11,8.19,2227200.0,
1997-10-10,0.0,8.25,8.11,8.19,2372800.0,
1997-10-13,0.0,8.19,8.09,8.11,1609200.0,
1997-10-14,0.0,8.14,8.11,8.12,340800.0,
1997-10-15,0.0,8.28,8.11,8.25,2627200.0,
1997-10-16,0.0,8.28,8.19,8.2,678800.0,
1997-10-17,0.0,8.2,7.83,7.91,900000.0,
1997-10-20,0.0,7.97,7.75,7.81,966400.0,
1997-10-21,0.0,7.88,7.47,7.5,1786800.0,
1997-10-22,0.0,7.69,7.23,7.55,6159200.0,
1997-10-23,0.0,7.47,7.33,7.42,1703200.0,
1997-10-24,0.0,7.73,7.5,7.61,2290800.0,
1997-10-27,0.0,7.59,7.11,7.11,1415200.0,
1997-10-28,0.0,7.3,6.73,7.3,2234800.0,
1997-10-29,0.0,7.62,7.48,7.5,4154000.0,
1997-10-30,0.0,7.53,7.38,7.48,556400.0,
1997-10-31,0.0,7.56,7.5,7.53,315600.0,
1997-11-03,0.0,7.7,7.59,7.64,522000.0,
1997-11-04,0.0,7.88,7.66,7.77,2367200.0,
1997-11-05,0.0,7.81,7.62,7.64,588800.0,
1997-11-06,0.0,7.64,7.47,7.48,451200.0,
1997-11-07,0.0,7.69,7.44,7.66,1186400.0,
1997-11-10,0.0,7.75,7.62,7.73,1200000.0,
1997-11-11,0.0,7.75,7.66,7.69,1065600.0,
1997-11-12,0.0,7.72,7.59,7.66,728400.0,
1997-11-13,0.0,7.69,7.61,7.62,621600.0,
